yield_match,yield_confirmed,yield_unconfirmed,yield_del,yield_ins,anchors_tested,anchor_retention,ret_noise0,ret_drop,ret_drop_syl,ret_ins_syl,ret_swap_syl,ret_tone_syl,ret_subst_char,ret_drop_char,ret_split_char,config,p_band,p_adaptive,p_similar,p_nodict,p_delins,n_columns,seeds,is_baseline,round
16315,16067,248,8685,8861,629767,0.96322,0.99766,0.03444,0.99625,0.99622,0.9476,0.91023,0.90571,0.99609,0.99671,band2_sim0.10_nod0.80_di0.45,2,False,0.1,0.8,0.45,1200,3,False,a
24529,16067,8462,471,647,629767,0.96463,0.99971,0.03508,0.99878,0.99848,0.94466,0.91207,0.90761,0.99843,0.99884,band2_sim0.10_nod0.80_di0.60,2,False,0.1,0.8,0.6,1200,3,False,a
24556,16058,8498,444,620,629767,0.96491,0.9999,0.035,0.99915,0.99894,0.94465,0.91227,0.90779,0.99882,0.99923,band2_sim0.10_nod0.80_di0.70,2,False,0.1,0.8,0.7,1200,3,False,a
24617,16027,8590,383,559,629767,0.96488,0.9999,0.03502,0.99923,0.99897,0.94411,0.91229,0.90781,0.99889,0.99936,band2_sim0.10_nod0.80_di0.85,2,False,0.1,0.8,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95149,1.0,0.04851,0.99918,0.99896,0.85314,0.91222,0.9079,0.99879,0.9993,band2_sim0.10_nod0.80_di1.00,2,False,0.1,0.8,1.0,1200,3,False,a
16231,16067,164,8769,8945,629767,0.96319,0.99766,0.03447,0.99622,0.99619,0.94761,0.91018,0.90571,0.99605,0.99664,band2_sim0.10_nod0.90_di0.45,2,False,0.1,0.9,0.45,1200,3,False,a
24529,16067,8462,471,647,629767,0.96463,0.99971,0.03508,0.99879,0.99845,0.94468,0.91207,0.90761,0.99843,0.99884,band2_sim0.10_nod0.90_di0.60,2,False,0.1,0.9,0.6,1200,3,False,a
24556,16058,8498,444,620,629767,0.96491,0.9999,0.03499,0.99916,0.99894,0.94467,0.91226,0.90779,0.99884,0.99923,band2_sim0.10_nod0.90_di0.70,2,False,0.1,0.9,0.7,1200,3,False,a
24616,16028,8588,384,560,629767,0.96488,0.9999,0.03502,0.99925,0.99896,0.94413,0.91229,0.90781,0.99889,0.99936,band2_sim0.10_nod0.90_di0.85,2,False,0.1,0.9,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95148,1.0,0.04852,0.99919,0.99897,0.85304,0.91222,0.9079,0.99879,0.9993,band2_sim0.10_nod0.90_di1.00,2,False,0.1,0.9,1.0,1200,3,False,a
16067,16067,0,8933,9109,629767,0.96317,0.99766,0.03449,0.99619,0.99619,0.94761,0.91014,0.90571,0.99603,0.99662,band2_sim0.10_nod1.00_di0.45,2,False,0.1,1.0,0.45,1200,3,False,a
24529,16067,8462,471,647,629767,0.9647,0.99981,0.03511,0.99883,0.99856,0.94471,0.91215,0.90768,0.99852,0.9989,band2_sim0.10_nod1.00_di0.60,2,False,0.1,1.0,0.6,1200,3,False,a
24554,16059,8495,446,622,629767,0.96498,1.0,0.03502,0.9992,0.99905,0.9447,0.91231,0.90787,0.99891,0.99929,band2_sim0.10_nod1.00_di0.70,2,False,0.1,1.0,0.7,1200,3,False,a
24616,16028,8588,384,560,629767,0.96495,1.0,0.03505,0.99929,0.99907,0.94416,0.91236,0.90789,0.99897,0.99942,band2_sim0.10_nod1.00_di0.85,2,False,0.1,1.0,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95149,1.0,0.04851,0.99918,0.99899,0.85306,0.91222,0.9079,0.99881,0.9993,band2_sim0.10_nod1.00_di1.00,2,False,0.1,1.0,1.0,1200,3,False,a
16315,16067,248,8685,8861,629767,0.96323,0.99766,0.03444,0.99628,0.99623,0.94761,0.91025,0.90569,0.99611,0.99669,band2_sim0.20_nod0.80_di0.45,2,False,0.2,0.8,0.45,1200,3,False,a
24529,16067,8462,471,647,629767,0.96506,0.99971,0.03465,0.99892,0.99873,0.94682,0.91209,0.90761,0.99855,0.99907,band2_sim0.20_nod0.80_di0.60,2,False,0.2,0.8,0.6,1200,3,False,a
24596,16038,8558,404,580,629767,0.96497,0.9999,0.03493,0.9992,0.99899,0.94471,0.91229,0.90781,0.99891,0.99939,band2_sim0.20_nod0.80_di0.70,2,False,0.2,0.8,0.7,1200,3,False,a
24623,16022,8601,377,553,629767,0.965,1.0,0.035,0.99937,0.99912,0.94427,0.91235,0.9079,0.99901,0.99951,band2_sim0.20_nod0.80_di0.85,2,False,0.2,0.8,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95149,1.0,0.04851,0.99918,0.99897,0.8531,0.91222,0.9079,0.99879,0.9993,band2_sim0.20_nod0.80_di1.00,2,False,0.2,0.8,1.0,1200,3,False,a
16234,16067,167,8766,8942,629767,0.96318,0.99766,0.03448,0.99622,0.99619,0.94761,0.91017,0.90569,0.99605,0.99663,band2_sim0.20_nod0.90_di0.45,2,False,0.2,0.9,0.45,1200,3,False,a
24529,16067,8462,471,647,629767,0.96512,0.99981,0.03469,0.99896,0.99882,0.94686,0.91216,0.90768,0.99863,0.99912,band2_sim0.20_nod0.90_di0.60,2,False,0.2,0.9,0.6,1200,3,False,a
24596,16038,8558,404,580,629767,0.96504,1.0,0.03496,0.99923,0.99909,0.94475,0.91235,0.90789,0.99898,0.99945,band2_sim0.20_nod0.90_di0.70,2,False,0.2,0.9,0.7,1200,3,False,a
24621,16024,8597,379,555,629767,0.96501,1.0,0.03499,0.99937,0.99913,0.94427,0.91235,0.9079,0.99902,0.99951,band2_sim0.20_nod0.90_di0.85,2,False,0.2,0.9,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.9515,1.0,0.0485,0.99919,0.99899,0.85315,0.91222,0.9079,0.99881,0.9993,band2_sim0.20_nod0.90_di1.00,2,False,0.2,0.9,1.0,1200,3,False,a
