pad,aniso,n,precision,recall,f1
0.06,False,339,0.9995,1.0,0.99975
0.09,False,339,0.99869,1.0,0.99934
0.12,False,339,0.99671,1.0,0.99835
0.15,False,339,0.99297,1.0,0.99647
0.18,False,339,0.98734,1.0,0.99363
0.22,False,339,0.97445,1.0,0.98706
0.28,False,339,0.94227,1.0,0.97028
0.35,False,339,0.88266,1.0,0.93767
"(0.06, 0.15)",True,339,0.9995,1.0,0.99975
"(0.06, 0.22)",True,339,0.9995,1.0,0.99975
"(0.09, 0.18)",True,339,0.99869,1.0,0.99934
"(0.09, 0.25)",True,339,0.99869,1.0,0.99934
"(0.12, 0.2)",True,339,0.99671,1.0,0.99835
"(0.12, 0.28)",True,339,0.99668,1.0,0.99834
"(0.15, 0.3)",True,339,0.99296,1.0,0.99647
