sach,loai,n_gold,giu_b,ty_le_bi_ha_b,giu_c,ty_le_bi_ha_c,giu_d,ty_le_bi_ha_d,giu_f,ty_le_bi_ha_f
L16,DUNG_hai_ve,11167,10715,0.0405,2959,0.735,2722,0.7562,2722,0.7562
L16,anh_sai_khe,187,1,0.9947,5,0.9733,0,1.0,0,1.0
L16,anh_khe_chua_xac_dinh,65,45,0.3077,12,0.8154,7,0.8923,7,0.8923
L16,chu_dong_am_trong_R,55,54,0.0182,2,0.9636,1,0.9818,1,0.9818
L16,chu_gan_hinh,37,35,0.0541,3,0.9189,2,0.9459,2,0.9459
L16,chu_bang_chu_ke,11,9,0.1818,2,0.8182,2,0.8182,2,0.8182
L16,chu_pua,61,58,0.0492,2,0.9672,2,0.9672,2,0.9672
L16,chu_khac,2,2,0.0,1,0.5,0,1.0,0,1.0
TK,DUNG_hai_ve,18208,17313,0.0492,7708,0.5767,12795,0.2973,9753,0.4644
TK,anh_sai_khe,63,1,0.9841,1,0.9841,1,0.9841,0,1.0
TK,anh_khe_chua_xac_dinh,71,4,0.9437,17,0.7606,0,1.0,0,1.0
TK,chu_dong_am_trong_R,76,72,0.0526,23,0.6974,47,0.3816,7,0.9079
TK,chu_gan_hinh,75,73,0.0267,25,0.6667,41,0.4533,5,0.9333
TK,chu_bang_chu_ke,5,5,0.0,2,0.6,3,0.4,0,1.0
TK,chu_pua,51,47,0.0784,2,0.9608,21,0.5882,1,0.9804
TK,chu_khac,1,0,1.0,0,1.0,0,1.0,0,1.0
