bac,mo_ta,sach,n_gold_gt,n_keep,keep_pct,prec_both,ci_lo,ci_hi,prec_label,prec_img,err_img_sai_khe,err_img_khe_chua_xd,err_chu,err_total,ha_oan,ha_dung,err_pool,n_correct
G0,không cổng,L16,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
G1,"A0: crop rỗng/cắt nét, 1 hộp 2 cột, ảnh ô khác",L16,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
G2,"G1 + B0: mực chữ kề (bleed/tight_nb), hộp chồng nặng, hộp cao ""tall""",L16,11585,11279,97.36,0.96409,0.95728,0.9705,0.98262,0.97863,180,61,164,405,293,13,418,11167
G3,G2 + cột có số chữ OCR ≠ số âm QN,L16,11585,11129,96.06,0.9655,0.95884,0.9718,0.98284,0.97996,167,56,161,384,422,34,418,11167
G4,"G3 + lệch dọc hộp kim > 1,0 bước",L16,11585,11112,95.92,0.96697,0.96069,0.97286,0.9829,0.98146,150,56,161,367,422,51,418,11167
G5,"G3 + lệch dọc > 0,75 ∨ vis_z ≤ −1",L16,11585,10979,94.77,0.9786,0.97449,0.98232,0.98297,0.99299,25,52,158,235,423,183,418,11167
G6,"G3 + lệch dọc > 0,6 ∨ vis_z ≤ −1 (cờ vòng 2 chọn trên TK)",L16,11585,10949,94.51,0.98055,0.97645,0.98423,0.98292,0.99498,5,50,158,213,431,205,418,11167
G7,"G3 + lệch dọc/ngang > 0,5 ∨ vis_z ≤ −0,5 (cờ vòng 2 chọn trên L16)",L16,11585,10919,94.25,0.98132,0.97728,0.98494,0.98287,0.99579,1,45,158,204,452,214,418,11167
G0,không cổng,TK,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
G1,"A0: crop rỗng/cắt nét, 1 hộp 2 cột, ảnh ô khác",TK,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
G2,"G1 + B0: mực chữ kề (bleed/tight_nb), hộp chồng nặng, hộp cao ""tall""",TK,18550,18416,99.28,0.98175,0.97895,0.98418,0.98865,0.99294,60,70,206,336,128,6,342,18208
G3,G2 + cột có số chữ OCR ≠ số âm QN,TK,18550,17615,94.96,0.98456,0.98211,0.98658,0.98865,0.9958,56,18,198,272,865,70,342,18208
G4,"G3 + lệch dọc hộp kim > 1,0 bước",TK,18550,17612,94.94,0.98473,0.98238,0.98669,0.98864,0.99597,53,18,198,269,865,73,342,18208
G5,"G3 + lệch dọc > 0,75 ∨ vis_z ≤ −1",TK,18550,17558,94.65,0.9877,0.98611,0.98914,0.98861,0.99897,3,15,198,216,866,126,342,18208
G6,"G3 + lệch dọc > 0,6 ∨ vis_z ≤ −1 (cờ vòng 2 chọn trên TK)",TK,18550,17552,94.62,0.98804,0.98647,0.98948,0.98866,0.99932,1,11,198,210,866,132,342,18208
G7,"G3 + lệch dọc/ngang > 0,5 ∨ vis_z ≤ −0,5 (cờ vòng 2 chọn trên L16)",TK,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
