sach,config,config_name,gold,giu,ha,giu_pct,muc
STT,a,pipeline hiện tại (không kiểm),52707,52707,0,100.0,ƯỚC LƯỢNG (không có nhãn người)
STT,b,chỉ hình học/trượt,52707,35111,17596,66.62,ƯỚC LƯỢNG (không có nhãn người)
STT,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),52707,9427,43280,17.89,ƯỚC LƯỢNG (không có nhãn người)
STT,d,hình học + ảnh,52707,6339,46368,12.03,ƯỚC LƯỢNG (không có nhãn người)
STT,e,hình học + ảnh + dị bản (text_attested),52707,6339,46368,12.03,ƯỚC LƯỢNG (không có nhãn người)
STT,f,chính sách v3 đầy đủ,52707,0,52707,0.0,ƯỚC LƯỢNG (không có nhãn người)
Chr,a,pipeline hiện tại (không kiểm),4238,4238,0,100.0,ƯỚC LƯỢNG (không có nhãn người)
Chr,b,chỉ hình học/trượt,4238,1794,2444,42.33,ƯỚC LƯỢNG (không có nhãn người)
Chr,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),4238,864,3374,20.39,ƯỚC LƯỢNG (không có nhãn người)
Chr,d,hình học + ảnh,4238,309,3929,7.29,ƯỚC LƯỢNG (không có nhãn người)
Chr,e,hình học + ảnh + dị bản (text_attested),4238,309,3929,7.29,ƯỚC LƯỢNG (không có nhãn người)
Chr,f,chính sách v3 đầy đủ,4238,0,4238,0.0,ƯỚC LƯỢNG (không có nhãn người)
L83,a,pipeline hiện tại (không kiểm),10910,10910,0,100.0,ƯỚC LƯỢNG (không có nhãn người)
L83,b,chỉ hình học/trượt,10910,10184,726,93.35,ƯỚC LƯỢNG (không có nhãn người)
L83,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),10910,1806,9104,16.55,ƯỚC LƯỢNG (không có nhãn người)
L83,d,hình học + ảnh,10910,1858,9052,17.03,ƯỚC LƯỢNG (không có nhãn người)
L83,e,hình học + ảnh + dị bản (text_attested),10910,648,10262,5.94,ƯỚC LƯỢNG (không có nhãn người)
L83,f,chính sách v3 đầy đủ,10910,0,10910,0.0,ƯỚC LƯỢNG (không có nhãn người)
KVK,a,pipeline hiện tại (không kiểm),19958,19958,0,100.0,ƯỚC LƯỢNG (không có nhãn người)
KVK,b,chỉ hình học/trượt,19958,19506,452,97.74,ƯỚC LƯỢNG (không có nhãn người)
KVK,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),19958,4290,15668,21.5,ƯỚC LƯỢNG (không có nhãn người)
KVK,d,hình học + ảnh,19958,4689,15269,23.49,ƯỚC LƯỢNG (không có nhãn người)
KVK,e,hình học + ảnh + dị bản (text_attested),19958,3676,16282,18.42,ƯỚC LƯỢNG (không có nhãn người)
KVK,f,chính sách v3 đầy đủ,19958,3657,16301,18.32,ƯỚC LƯỢNG (không có nhãn người)
L16,a,pipeline hiện tại (không kiểm),11587,11587,0,100.0,ĐO ĐƯỢC trên IHR (xem sweep)
L16,b,chỉ hình học/trượt,11587,10921,666,94.25,ĐO ĐƯỢC trên IHR (xem sweep)
L16,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),11587,2987,8600,25.78,ĐO ĐƯỢC trên IHR (xem sweep)
L16,d,hình học + ảnh,11587,2737,8850,23.62,ĐO ĐƯỢC trên IHR (xem sweep)
L16,e,hình học + ảnh + dị bản (text_attested),11587,2737,8850,23.62,ĐO ĐƯỢC trên IHR (xem sweep)
L16,f,chính sách v3 đầy đủ,11587,2737,8850,23.62,ĐO ĐƯỢC trên IHR (xem sweep)
TK,a,pipeline hiện tại (không kiểm),19554,19554,0,100.0,ĐO ĐƯỢC trên IHR (xem sweep)
TK,b,chỉ hình học/trượt,19554,18511,1043,94.67,ĐO ĐƯỢC trên IHR (xem sweep)
TK,c,chỉ bộ kiểm ảnh verifier_ft (p_wood),19554,8204,11350,41.96,ĐO ĐƯỢC trên IHR (xem sweep)
TK,d,hình học + ảnh,19554,13643,5911,69.77,ĐO ĐƯỢC trên IHR (xem sweep)
TK,e,hình học + ảnh + dị bản (text_attested),19554,9766,9788,49.94,ĐO ĐƯỢC trên IHR (xem sweep)
TK,f,chính sách v3 đầy đủ,19554,9766,9788,49.94,ĐO ĐƯỢC trên IHR (xem sweep)
