config,config_name,direction,chon_tren,bao_tren,tau,param,tune_cov,tune_prec,n_gold_gt,n_keep,keep_pct,prec_both,ci_lo,ci_hi,prec_label,prec_img,err_img_sai_khe,err_img_khe_chua_xd,err_chu,err_total,ha_oan,ha_dung,err_pool,n_correct
a,pipeline hiện tại (không kiểm),T,TK,L16,0.98,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.98,G0,1.0,0.98528,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.98,p_wood≥0.06109,1.0,0.98605,11585,11582,99.97,0.96417,0.9574,0.97053,0.98273,0.9785,184,65,166,415,0,3,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.98,p_wood≥0.06109 ∧ viss≥0.00728,1.0,0.98605,11585,11578,99.94,0.9645,0.95776,0.97092,0.9829,0.97867,183,64,164,411,0,7,418,11167
d,hình học + ảnh,T,TK,L16,0.98,p_wood≥0.06109 ∧ viss≥0.00728,0.9652,0.98866,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
e,hình học + ảnh + dị bản (text_attested),T,TK,L16,0.98,p_wood≥0.06109 ∧ viss≥0.00728,0.7059,0.99757,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
f,chính sách v3 đầy đủ,T,TK,L16,0.98,p_wood≥0.06109 ∧ viss≥0.00728,0.7059,0.99757,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
a,pipeline hiện tại (không kiểm),T,TK,L16,0.985,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.985,G0,1.0,0.98528,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.985,p_wood≥0.06109,1.0,0.98605,11585,11582,99.97,0.96417,0.9574,0.97053,0.98273,0.9785,184,65,166,415,0,3,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.985,p_wood≥0.06109 ∧ viss≥0.00728,1.0,0.98605,11585,11578,99.94,0.9645,0.95776,0.97092,0.9829,0.97867,183,64,164,411,0,7,418,11167
d,hình học + ảnh,T,TK,L16,0.985,p_wood≥0.06109 ∧ viss≥0.00728,0.9652,0.98866,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
e,hình học + ảnh + dị bản (text_attested),T,TK,L16,0.985,p_wood≥0.06109 ∧ viss≥0.00728,0.7059,0.99757,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
f,chính sách v3 đầy đủ,T,TK,L16,0.985,p_wood≥0.06109 ∧ viss≥0.00728,0.7059,0.99757,11585,10947,94.49,0.98073,0.97662,0.98451,0.9831,0.99498,5,50,156,211,431,207,418,11167
a,pipeline hiện tại (không kiểm),T,TK,L16,0.99,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.99,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9476,0.98864,11585,10919,94.25,0.98132,0.97728,0.98494,0.98287,0.99579,1,45,158,204,452,214,418,11167
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.99,p_wood≥0.95236,0.9607,0.99017,11585,10442,90.13,0.98161,0.97754,0.98546,0.98669,0.99205,27,56,109,192,917,226,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.99,p_wood≥0.95314 ∧ viss≥0.00728,0.9599,0.99016,11585,10399,89.76,0.98221,0.97812,0.98606,0.98702,0.9924,27,52,106,185,953,233,418,11167
