grp,cell_uid,book,crop,label,gt,err_kind,p_wood,viss,reason
i,LucVanTien1916/lucvantien1916/page_0052/c2/n11/s11,L16,2d84cbe71f798439c4e4f46179cced03.png,欣,欣,DUNG_hai_ve,0.99046,0.8591641187667847,(ok)
i,LucVanTien1916/lucvantien1916/page_0062/c8/n8/s8,L16,e2da40b3883e894eba68d821148c4316.png,子,子,DUNG_hai_ve,0.99004,0.7221055030822754,(ok)
i,LucVanTien1916/lucvantien1916/page_0061/c5/n11/s11,L16,b76eddd8cc97dfb73d3155fdd25b6e82.png,強,強,DUNG_hai_ve,0.98794,0.6745615601539612,(ok)
i,LucVanTien1916/lucvantien1916/page_0016/c5/n8/s8,L16,cf51f644b8b120f9c9f23d9bf400781d.png,吏,吏,DUNG_hai_ve,0.98754,0.8332937359809875,(ok)
i,LucVanTien1916/lucvantien1916/page_0091/c10/n4/s4,L16,aca0d44df029aef520dcb616eea1048e.png,呐,呐,DUNG_hai_ve,0.99011,0.6495119333267212,(ok)
i,LucVanTien1916/lucvantien1916/page_0102/c6/n3/s3,L16,96897f34bdfa074969a150d0e3993a4e.png,畧,畧,DUNG_hai_ve,0.98967,0.897887110710144,(ok)
i,LucVanTien1916/lucvantien1916/page_0031/c2/n0/s0,L16,f0845c00ac3bbbb27beb68d2fe42e630.png,埃,埃,DUNG_hai_ve,0.9904,0.7752818465232849,(ok)
i,LucVanTien1916/lucvantien1916/page_0039/c3/n3/s3,L16,85527bc4f73d5486a49442ee76f04cb3.png,扵,扵,DUNG_hai_ve,0.98935,0.8614420294761658,(ok)
i,LucVanTien1916/lucvantien1916/page_0042/c3/n9/s9,L16,385e37d199304956f89b53564bea1d3b.png,吏,吏,DUNG_hai_ve,0.99157,0.6452924609184265,(ok)
i,LucVanTien1916/lucvantien1916/page_0042/c8/n5/s5,L16,861ae53699385374b2197761c827f9fb.png,𢚸,𢚸,DUNG_hai_ve,0.99026,0.7761704921722412,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0085/c4/n6/s6,TK,65bd09af4061a43871ab32ecc58ea6ba.png,尋,尋,DUNG_hai_ve,0.98236,0.9428615570068359,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0080/c10/n4/s4,TK,1f1c27930e82ceb9714e972fd3b50131.png,𠯇,𠯇,DUNG_hai_ve,0.96593,0.9527804851531982,(ok)
