cell_uid,book_set,label,syllable,image,old_bbox,cand,new_bbox,m_new
Chrestomathie1872/chrestomathie1872/page_0046/c1/n12/s12,Chrestomathie1872,𠄩,hai,crops/Chrestomathie1872/gold/chrestomathie1872_page_0046_c01_012.png,"[1217, 1106, 1314, 1193]",kim,"[1224, 1154, 1321, 1241]",0.4571
Chrestomathie1872/chrestomathie1872/page_0021/c7/n9/s10,Chrestomathie1872,碎,tôi,crops/Chrestomathie1872/gold/chrestomathie1872_page_0021_c07_134.png,"[163, 1024, 260, 1117]",kim,"[157, 982, 254, 1075]",0.5345
Chrestomathie1872/chrestomathie1872/page_0062/c4/n9/s9,Chrestomathie1872,爫,làm,crops/Chrestomathie1872/gold/chrestomathie1872_page_0062_c04_053.png,"[500, 890, 589, 980]",kim,"[508, 934, 597, 1024]",0.514
Chrestomathie1872/chrestomathie1872/page_0033/c7/n5/s4,Chrestomathie1872,買,mới,crops/Chrestomathie1872/gold/chrestomathie1872_page_0033_c07_139.png,"[192, 558, 281, 650]",kim,"[198, 637, 287, 729]",0.548
Chrestomathie1872/chrestomathie1872/page_0041/c3/n12/s12,Chrestomathie1872,貝,bói,crops/Chrestomathie1872/gold/chrestomathie1872_page_0041_c03_053.png,"[734, 1168, 831, 1264]",kim,"[742, 1218, 839, 1314]",0.5131
Chrestomathie1872/chrestomathie1872/page_0006/c2/n8/s9,Chrestomathie1872,浪,rằng,crops/Chrestomathie1872/gold/chrestomathie1872_page_0006_c02_028.png,"[1078, 947, 1172, 1038]",kim,"[1080, 984, 1174, 1075]",0.4512
Chrestomathie1872/chrestomathie1872/page_0042/c6/n3/s3,Chrestomathie1872,𠫾,đi,crops/Chrestomathie1872/gold/chrestomathie1872_page_0042_c06_107.png,"[502, 566, 597, 660]",kim,"[509, 526, 604, 620]",0.4645
Chrestomathie1872/chrestomathie1872/page_0036/c1/n14/s14,Chrestomathie1872,碎,tôi,crops/Chrestomathie1872/gold/chrestomathie1872_page_0036_c01_013.png,"[1213, 1351, 1319, 1448]",next,"[1214, 1430, 1317, 1528]",0.5355
Chrestomathie1872/chrestomathie1872/page_0042/c5/n1/s2,Chrestomathie1872,𠫾,đi,crops/Chrestomathie1872/gold/chrestomathie1872_page_0042_c05_085.png,"[644, 433, 741, 524]",kim,"[642, 369, 739, 460]",0.487
Chrestomathie1872/chrestomathie1872/page_0036/c1/n13/s13,Chrestomathie1872,女,nữa,crops/Chrestomathie1872/gold/chrestomathie1872_page_0036_c01_012.png,"[1216, 1272, 1315, 1365]",next,"[1213, 1351, 1319, 1448]",0.5855
SachThanhTruyen/stt11/page_0070/c1/n4/s6,SachThanhTruyen,朱,cho,crops/SachThanhTruyen/gold/stt11_page_0070_c01_004.png,"[1490, 947, 1592, 1055]",kim,"[1487, 814, 1589, 922]",0.4774
SachThanhTruyen/stt4/page_0046/c8/n11/s12,SachThanhTruyen,碎,tôi,crops/SachThanhTruyen/gold/stt4_page_0046_c08_163.png,"[284, 994, 355, 1069]",kim,"[279, 964, 350, 1039]",0.5053
SachThanhTruyen/stt11/page_0288/c6/n11/s11,SachThanhTruyen,每,môi,crops/SachThanhTruyen/gold/stt11_page_0288_c06_119.png,"[753, 1459, 862, 1574]",kim,"[747, 1513, 856, 1628]",0.4995
SachThanhTruyen/stt2/page_0156/c7/n14/s14,SachThanhTruyen,灵,linh,crops/SachThanhTruyen/gold/stt2_page_0156_c07_133.png,"[515, 1830, 619, 1949]",kim,"[520, 1890, 624, 2009]",0.5466
SachThanhTruyen/stt11/page_0136/c3/n22/s22,SachThanhTruyen,朱,cho,crops/SachThanhTruyen/gold/stt11_page_0136_c03_068.png,"[1186, 2407, 1288, 2513]",kim,"[1242, 2414, 1344, 2520]",0.4783
SachThanhTruyen/stt4/page_0228/c6/n16/s16,SachThanhTruyen,事,sự,crops/SachThanhTruyen/gold/stt4_page_0228_c06_122.png,"[488, 1318, 558, 1400]",kim,"[514, 1370, 584, 1452]",0.4528
SachThanhTruyen/stt11/page_0116/c8/n13/s13,SachThanhTruyen,連,liên,crops/SachThanhTruyen/gold/stt11_page_0116_c08_163.png,"[444, 1635, 550, 1753]",kim,"[462, 1685, 568, 1803]",0.4828
SachThanhTruyen/stt11/page_0216/c9/n15/s15,SachThanhTruyen,主,chúa,crops/SachThanhTruyen/gold/stt11_page_0216_c09_192.png,"[283, 1781, 385, 1890]",kim,"[276, 1839, 378, 1948]",0.6009
SachThanhTruyen/stt11/page_0140/c2/n11/s11,SachThanhTruyen,沛,phải,crops/SachThanhTruyen/gold/stt11_page_0140_c02_034.png,"[1349, 1356, 1445, 1462]",next,"[1348, 1450, 1446, 1556]",0.5286
SachThanhTruyen/stt2/page_0284/c5/n3/s2,SachThanhTruyen,几,kẻ,crops/SachThanhTruyen/gold/stt2_page_0284_c05_080.png,"[832, 639, 938, 769]",next,"[834, 745, 938, 874]",0.5808
SachThanhTruyen/stt11/page_0096/c9/n19/s19,SachThanhTruyen,時,thì,crops/SachThanhTruyen/gold/stt11_page_0096_c09_192.png,"[283, 2154, 383, 2261]",kim,"[268, 2211, 368, 2318]",0.4519
SachThanhTruyen/stt11/page_0232/c1/n9/s10,SachThanhTruyen,主,chúa,crops/SachThanhTruyen/gold/stt11_page_0232_c01_009.png,"[1493, 1327, 1595, 1439]",kim,"[1480, 1279, 1582, 1391]",0.6443
SachThanhTruyen/stt2/page_0318/c4/n17/s17,SachThanhTruyen,昆,con,crops/SachThanhTruyen/gold/stt2_page_0318_c04_075.png,"[994, 2205, 1096, 2323]",kim,"[1004, 2290, 1106, 2408]",0.5588
SachThanhTruyen/stt2/page_0178/c4/n14/s14,SachThanhTruyen,固,có,crops/SachThanhTruyen/gold/stt2_page_0178_c04_070.png,"[990, 1968, 1094, 2101]",kim,"[987, 2062, 1091, 2195]",0.4964
SachThanhTruyen/stt11/page_0088/c2/n3/s3,SachThanhTruyen,罪,tội,crops/SachThanhTruyen/gold/stt11_page_0088_c02_026.png,"[1417, 708, 1492, 818]",kim,"[1337, 708, 1412, 818]",0.6976
SachThanhTruyen/stt11/page_0282/c1/n14/s14,SachThanhTruyen,奴,nó,crops/SachThanhTruyen/gold/stt11_page_0282_c01_014.png,"[1467, 1739, 1570, 1852]",kim,"[1458, 1794, 1561, 1907]",0.5189
SachThanhTruyen/stt2/page_0324/c8/n11/s11,SachThanhTruyen,罰,phạt,crops/SachThanhTruyen/gold/stt2_page_0324_c08_151.png,"[407, 1638, 517, 1772]",kim,"[421, 1697, 531, 1831]",0.6239
SachThanhTruyen/stt11/page_0010/c4/n7/s6,SachThanhTruyen,葩,pha,crops/SachThanhTruyen/gold/stt11_page_0010_c04_053.png,"[1004, 997, 1116, 1124]",kim,"[1007, 1058, 1119, 1185]",0.5769
SachThanhTruyen/stt11/page_0034/c1/n18/s16,SachThanhTruyen,奴,nó,crops/SachThanhTruyen/gold/stt11_page_0034_c01_016.png,"[1324, 1903, 1432, 2017]",kim,"[1471, 1900, 1579, 2014]",0.4737
