book,model,theta,P_unflagged,n_gold,n_flag,n_raw_accept,n_accept,huy_trung_hop,huy_khong_don_dieu,sua_dung,sua_sai,sua_chua_xd,lam_hong_o_dung,doi_hop_van_dung,ha_o_sai,ha_o_dung,prec_fix,khe_sua_dung,khe_sua_sai,khe_lam_hong,khe_doi_van_dung,khe_ha_o_sai,khe_ha_o_dung,prec_fix_khe,prec_fix_chi_mau
LucVanTien1916,T,-0.2,0.9802,11587,234,201,162,30,9,148,0,1,1,12,46,26,0.9877,144,3,3,12,44,28,0.963,0.9938
LucVanTien1916,T,-0.15,0.9802,11587,234,190,155,30,5,142,0,1,1,11,52,27,0.9871,138,3,3,11,50,29,0.9613,0.9935
LucVanTien1916,T,-0.1,0.9802,11587,234,181,142,36,3,129,0,1,1,11,65,27,0.9859,125,3,3,11,63,29,0.9577,0.993
LucVanTien1916,T,-0.05,0.9802,11587,234,176,135,38,3,122,0,1,1,11,72,27,0.9852,118,3,3,11,70,29,0.9556,0.9926
LucVanTien1916,T,-0.0,0.9802,11587,234,161,118,43,0,106,0,1,0,11,88,28,0.9915,102,3,2,11,86,30,0.9576,1.0
LucVanTien1916,T,0.05,0.9802,11587,234,154,112,42,0,100,0,1,0,11,94,28,0.9911,96,3,2,11,92,30,0.9554,1.0
LucVanTien1916,T,0.1,0.9802,11587,234,145,93,52,0,84,0,1,0,8,110,31,0.9892,80,3,2,8,108,33,0.9462,1.0
LucVanTien1916,T,0.15,0.9802,11587,234,135,86,49,0,77,0,1,0,8,117,31,0.9884,73,3,2,8,115,33,0.9419,1.0
LucVanTien1916,T,0.2,0.9802,11587,234,118,69,49,0,60,0,1,0,8,134,31,0.9855,57,3,1,8,131,34,0.942,1.0
LucVanTien1916,T,0.25,0.9802,11587,234,99,55,44,0,47,0,1,0,7,147,32,0.9818,46,2,0,7,143,36,0.9636,1.0
LucVanTien1916,T,0.3,0.9802,11587,234,78,39,39,0,33,0,1,0,5,161,34,0.9744,32,2,0,5,157,38,0.9487,1.0
LucVanTien1916,T,0.35,0.9802,11587,234,61,25,36,0,21,0,1,0,3,173,36,0.96,20,2,0,3,169,40,0.92,1.0
LucVanTien1916,T,0.4,0.9802,11587,234,39,13,26,0,11,0,1,0,1,183,38,0.9231,10,2,0,1,179,42,0.8462,1.0
LucVanTien1916,T,0.45,0.9802,11587,234,24,11,13,0,10,0,0,0,1,185,38,1.0,9,1,0,1,181,42,0.9091,1.0
LucVanTien1916,T,0.5,0.9802,11587,234,13,6,7,0,5,0,0,0,1,190,38,1.0,4,1,0,1,186,42,0.8333,1.0
LucVanTien1916,T,0.55,0.9802,11587,234,6,2,4,0,2,0,0,0,0,193,39,1.0,2,0,0,0,189,43,1.0,1.0
