book,model,theta,P_unflagged,n_gold,n_flag,n_raw_accept,n_accept,huy_trung_hop,huy_khong_don_dieu,sua_dung,sua_sai,sua_chua_xd,lam_hong_o_dung,doi_hop_van_dung,ha_o_sai,ha_o_dung,prec_fix,khe_sua_dung,khe_sua_sai,khe_lam_hong,khe_doi_van_dung,khe_ha_o_sai,khe_ha_o_dung,prec_fix_khe,prec_fix_chi_mau
LucVanTien1916,T,-0.2,0.9802,11587,234,201,176,16,9,161,0,2,1,12,32,26,0.983,157,4,3,12,30,28,0.9602,0.9943
LucVanTien1916,T,-0.15,0.9802,11587,234,190,171,14,5,157,0,1,1,12,37,26,0.9883,153,3,3,12,35,28,0.9649,0.9942
LucVanTien1916,T,-0.1,0.9802,11587,234,181,165,13,3,151,0,1,1,12,43,26,0.9879,147,3,3,12,41,28,0.9636,0.9939
LucVanTien1916,T,-0.05,0.9802,11587,234,176,162,11,3,148,0,1,1,12,46,26,0.9877,144,3,3,12,44,28,0.963,0.9938
LucVanTien1916,T,-0.0,0.9802,11587,234,161,152,9,0,138,1,1,0,12,55,27,0.9868,134,4,2,12,53,29,0.9605,0.9934
LucVanTien1916,T,0.05,0.9802,11587,234,154,145,9,0,131,1,1,0,12,62,27,0.9862,127,4,2,12,60,29,0.9586,0.9931
LucVanTien1916,T,0.1,0.9802,11587,234,145,137,8,0,125,1,1,0,10,68,29,0.9854,121,4,2,10,66,31,0.9562,0.9927
LucVanTien1916,T,0.15,0.9802,11587,234,135,127,8,0,115,1,1,0,10,78,29,0.9843,111,4,2,10,76,31,0.9528,0.9921
LucVanTien1916,T,0.2,0.9802,11587,234,118,113,5,0,101,0,1,0,11,93,28,0.9912,98,3,1,11,90,31,0.9646,1.0
LucVanTien1916,T,0.25,0.9802,11587,234,99,95,4,0,85,0,1,0,9,109,30,0.9895,84,2,0,9,105,34,0.9789,1.0
LucVanTien1916,T,0.3,0.9802,11587,234,78,75,3,0,67,0,1,0,7,127,32,0.9867,66,2,0,7,123,36,0.9733,1.0
LucVanTien1916,T,0.35,0.9802,11587,234,61,58,3,0,51,0,1,0,6,143,33,0.9828,50,2,0,6,139,37,0.9655,1.0
LucVanTien1916,T,0.4,0.9802,11587,234,39,37,2,0,32,0,1,0,4,162,35,0.973,31,2,0,4,158,39,0.9459,1.0
LucVanTien1916,T,0.45,0.9802,11587,234,24,24,0,0,22,0,0,0,2,173,37,1.0,21,1,0,2,169,41,0.9583,1.0
LucVanTien1916,T,0.5,0.9802,11587,234,13,13,0,0,12,0,0,0,1,183,38,1.0,11,1,0,1,179,42,0.9231,1.0
LucVanTien1916,T,0.55,0.9802,11587,234,6,6,0,0,6,0,0,0,0,189,39,1.0,6,0,0,0,185,43,1.0,1.0
LucVanTien1916,T,0.6,0.9802,11587,234,3,3,0,0,3,0,0,0,0,192,39,1.0,3,0,0,0,188,43,1.0,1.0
LucVanTien1916,T,0.65,0.9802,11587,234,1,1,0,0,1,0,0,0,0,194,39,1.0,1,0,0,0,190,43,1.0,1.0
LucVanTien1916,T,0.7,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
LucVanTien1916,T,0.75,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
LucVanTien1916,T,0.8,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
TruyenKieu1872,L,-0.2,0.9871,18550,162,103,95,6,2,74,1,4,5,11,24,43,0.8947,74,4,6,11,22,45,0.8947,0.9263
TruyenKieu1872,L,-0.15,0.9871,18550,162,100,92,6,2,73,1,3,4,11,26,44,0.913,73,3,5,11,24,46,0.913,0.9457
TruyenKieu1872,L,-0.1,0.9871,18550,162,89,83,4,2,65,1,3,4,10,34,45,0.9036,65,3,5,10,32,47,0.9036,0.9398
TruyenKieu1872,L,-0.05,0.9871,18550,162,85,80,3,2,63,1,3,4,9,36,46,0.9,63,3,5,9,34,48,0.9,0.9375
TruyenKieu1872,L,-0.0,0.9871,18550,162,77,74,3,0,58,1,2,4,9,42,46,0.9054,58,2,5,9,40,48,0.9054,0.9459
TruyenKieu1872,L,0.05,0.9871,18550,162,64,61,3,0,49,1,0,3,8,53,48,0.9344,49,0,4,8,51,50,0.9344,0.9672
TruyenKieu1872,L,0.1,0.9871,18550,162,58,56,2,0,45,1,0,2,8,57,49,0.9464,45,0,3,8,55,51,0.9464,0.9643
TruyenKieu1872,L,0.15,0.9871,18550,162,49,47,2,0,38,1,0,1,7,64,51,0.9574,38,0,2,7,62,53,0.9574,0.9787
TruyenKieu1872,L,0.2,0.9871,18550,162,43,41,2,0,34,0,0,1,6,69,52,0.9756,34,0,1,6,66,55,0.9756,1.0
TruyenKieu1872,L,0.25,0.9871,18550,162,33,32,1,0,27,0,0,0,5,76,54,1.0,27,0,0,5,73,57,1.0,1.0
TruyenKieu1872,L,0.3,0.9871,18550,162,23,22,1,0,18,0,0,0,4,85,55,1.0,18,0,0,4,82,58,1.0,1.0
TruyenKieu1872,L,0.35,0.9871,18550,162,17,16,1,0,14,0,0,0,2,89,57,1.0,14,0,0,2,86,60,1.0,1.0
TruyenKieu1872,L,0.4,0.9871,18550,162,10,9,1,0,7,0,0,0,2,96,57,1.0,7,0,0,2,93,60,1.0,1.0
TruyenKieu1872,L,0.45,0.9871,18550,162,5,4,1,0,3,0,0,0,1,100,58,1.0,3,0,0,1,97,61,1.0,1.0
TruyenKieu1872,L,0.5,0.9871,18550,162,1,1,0,0,1,0,0,0,0,102,59,1.0,1,0,0,0,99,62,1.0,1.0
TruyenKieu1872,L,0.55,0.9871,18550,162,1,1,0,0,1,0,0,0,0,102,59,1.0,1,0,0,0,99,62,1.0,1.0
TruyenKieu1872,L,0.6,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.65,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.7,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.75,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.8,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
