set,type,truth,dir,dir_name,gold,keep,keep_pct,demote,classes_before,classes_lost,cells_in_lost_classes,n_fix_kept,n_eval,both_pt,both_lo,both_hi,lab_pt,lab_lo,lab_hi,img_pt,img_lo,img_hi,err_lab_cells,err_img_cells,err_both_cells,acc_pess,img_method,img_err_pt,img_err_lo,img_err_hi,img_err_stt_model_only,lab_hi_cands,lab_err_hi_no_nod,lab_method,lab_pess_driver,lab_classes,lab_tk_src,nod_c,nod_bound,lab_err_pt,lab_err_lo,lab_err_hi,lab_err_hi_T,acc_pess_no_nod,err_both_cells_hi,lab_rate_transfer,lab_extra_stt,lab_err_pt_H7,lab_err_hi_H7,img_err_hi_uniform,acc_pess_stt_uniform,acc_pt_H7,acc_pess_H7,acc_pess_H7_uniform,meets
stt2,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17678,17678,100.0,0,968,0,0,0,,0.90904844262634,0.8840476889538816,0.9321221533306737,0.9550611061196297,0.9405909466006289,0.969058037159234,0.9539873365067103,0.9434567423532527,0.9630641161714397,,,1607.8,0.8840476889538816,Σp trượt vòng 2 (STT: bể 1.630–2.500),813.411865234375,652.9525543212891,999.5717086791992,259.9559631347656,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,794.4297660171867,546.9920190990615,1050.2332459940812,,,2049.8,"[0.01001, 0.01432, 0.0227]","[373.7, 549.2, 664.0]",253.13451828568088,401.3073925303255,838.5034245925589,0.8931589166994773,0.9396681534381686,0.9207557924420452,0.9298670201876409,khong
stt2,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17678,13025,73.68,4653,968,74,90,0,,0.9505434536192771,0.9352493770083292,0.9666134403051987,0.9549219241883824,0.9412569082457942,0.9689693377839723,0.9956215294308947,0.993992468762535,0.9976441025212264,,,644.2,0.9352493770083292,Σp trượt vòng 2 (STT: bể 1.630–2.500),57.029579162597656,30.685564661026,78.24809436798094,17.672815322875977,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,587.1419374463192,404.1743753637609,765.1287700985304,,,843.4,"[0.00992, 0.01419, 0.02172]","[277.7, 408.1, 493.0]",184.849376199783,282.8837078250381,617.8021894625002,0.8938248783446425,0.9814296387437712,0.9722739499275993,0.9308494512639126,khong
stt2,chép tay (lt1),SUY ĐOÁN,H2,"H1 + bộ kiểm ảnh τ=0,995",17678,2400,13.58,15278,968,803,6891,0,,0.9837773257610984,0.9638841032434919,0.9923772460476153,0.986464844755112,0.9680562456774061,0.9935580072629586,0.9973124810059866,0.9958278575660858,0.9988192387846567,,,38.9,0.9638841032434919,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.450045585632324,2.833826916823875,10.013141841393887,1.599565029144287,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,32.48437258773136,15.460782568899178,76.66501037422532,,,86.7,"[0.0019, 0.00675, 0.02379]","[10.9, 16.4, 20.0]",16.20686749411493,57.10103599993141,97.18028440245128,0.9275644605097181,0.9905596195501053,0.9720357592327811,0.9357161164990072,khong
stt2,chép tay (lt1),SUY ĐOÁN,H3,H1 + dị bản người,17678,13025,73.68,4653,968,74,90,0,,0.9505434536192771,0.9352493770083292,0.9666134403051987,0.9549219241883824,0.9412569082457942,0.9689693377839723,0.9956215294308947,0.993992468762535,0.9976441025212264,,,644.2,0.9352493770083292,Σp trượt vòng 2 (STT: bể 1.630–2.500),57.029579162597656,30.685564661026,78.24809436798094,17.672815322875977,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,587.1419374463192,404.1743753637609,765.1287700985304,,,843.4,"[0.00992, 0.01419, 0.02172]","[277.7, 408.1, 493.0]",184.849376199783,282.8837078250381,617.8021894625002,0.8938248783446425,0.9814296387437712,0.9722739499275993,0.9308494512639126,khong
stt2,chép tay (lt1),SUY ĐOÁN,H4,H1+H2+H3,17678,2400,13.58,15278,968,803,6891,0,,0.9837773257610984,0.9638841032434919,0.9923772460476153,0.986464844755112,0.9680562456774061,0.9935580072629586,0.9973124810059866,0.9958278575660858,0.9988192387846567,,,38.9,0.9638841032434919,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.450045585632324,2.833826916823875,10.013141841393887,1.599565029144287,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,32.48437258773136,15.460782568899178,76.66501037422532,,,86.7,"[0.0019, 0.00675, 0.02379]","[10.9, 16.4, 20.0]",16.20686749411493,57.10103599993141,97.18028440245128,0.9275644605097181,0.9905596195501053,0.9720357592327811,0.9357161164990072,khong
stt2,chép tay (lt1),SUY ĐOÁN,H5,H1 + vòng sửa hộp,17678,13027,73.69,4651,968,74,90,2,,0.9505308283839717,0.9352450969758642,0.9666093081907905,0.9549142095435608,0.9412625925281185,0.9689725785712829,0.995616618840411,0.9939825044477457,0.9976367296195076,,,644.4,0.9352450969758642,Σp trượt vòng 2 (STT: bể 1.630–2.500),57.1023063659668,30.786323246675,78.38991455921692,17.672815322875977,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,587.3325922760338,404.1942189518966,765.1722071362002,,,843.6,"[0.00992, 0.0142, 0.02172]","[277.7, 408.1, 493.0]",185.04527872479073,282.92714486270796,617.8021894625002,0.8938378447379519,0.9814118688039642,0.9722639856128099,0.9308567333748976,khong
stt2,chép tay (lt1),SUY ĐOÁN,H6,H4 + vòng sửa hộp,17678,2402,13.59,15276,968,803,6891,2,,0.9836172419892423,0.9638480814465156,0.9920218154172676,0.9863328010188016,0.9680630330679051,0.9932348209214531,0.9972844409704407,0.9957850483786105,0.9987869944958147,,,39.4,0.9638480814465156,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.522772789001465,2.913639221053308,10.12431379457756,1.599565029144287,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,32.82861195283847,16.249960146669764,76.71259457089194,,,86.8,"[0.00223, 0.00689, 0.02379]","[10.9, 16.4, 20.0]",16.55337886332627,57.148620196598024,97.18028440245128,0.9276049629586415,0.9903929426926196,0.9719929500453057,0.9357498315574316,khong
stt2,chép tay (lt1),SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",17678,2259,12.78,15419,968,816,7033,0,,0.9898921261205856,0.9712977411691115,0.9963909814159516,0.9922752045686477,0.9750102613229661,0.9974517203902445,0.9976169215519378,0.9962874798461453,0.9989392610257071,,,22.8,0.9712977411691115,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,5.383374214172363,2.3962093429277234,8.386583027557679,1.5041447877883911,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,17.450312879424782,5.756563638437662,56.451819671419564,,,64.8,"[0.0019, 0.00675, 0.02379]","[1.5, 2.2, 2.8]",15.254714028835677,53.74635013493545,83.92944485552204,0.9378568992797957,0.9908640600960567,0.9724953815128405,0.9390545396235248,khong
stt4,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17440,17440,100.0,0,925,0,0,0,,0.9195457356733097,0.8974328101458725,0.9424059902497764,0.9515585911331004,0.9364485788794658,0.9665546426939685,0.9679871445402093,0.9609842312664068,0.9758513475558079,,,1403.1,0.8974328101458725,Σp trượt vòng 2 (STT: bể 1.630–2.500),558.30419921875,421.15249862670896,680.4350067138672,187.69142150878906,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,844.8181706387302,583.2870314171892,1108.336784342117,,,1788.8,"[0.01001, 0.01432, 0.0227]","[412.8, 603.7, 729.0]",249.72655271536797,395.90456645145815,827.2146014760848,0.8890165489783142,0.9536679614716675,0.9382832813551992,0.9298670201876409,khong
stt4,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17440,11679,66.97,5761,925,105,126,0,,0.946651541775026,0.9305014423861655,0.9638661726893394,0.9516784935861945,0.9374254669914286,0.966686459063285,0.9949730481888315,0.9930759753947369,0.9971797136260545,,,623.1,0.9305014423861655,Σp trượt vòng 2 (STT: bể 1.630–2.500),58.70977020263672,32.93812456130981,80.86568336486816,18.193485260009766,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,564.3468734068347,389.06884459989504,730.8079710071053,,,811.7,"[0.00992, 0.01419, 0.02172]","[275.9, 404.3, 487.8]",165.7470913349148,253.65058147321457,553.9586772155501,0.8899934370902769,0.980781157501708,0.9713574565598011,0.9308494512639126,khong
