bo,tap,diem,viec,auc_cu,auc_moi,hieu,hieu_lo,hieu_hi,n_cu,am_cu,n_moi,am_moi
L16,GOLD,pw,khe,0.9465,0.9351,-0.0114,-0.0262,-0.0032,11520,187,11504,171
L16,GOLD,pw,nhan,0.7577,0.7451,-0.0126,-0.0306,0.0085,11333,166,11333,170
L16,GOLD,pw,hai_ve,0.8583,0.8409,-0.0175,-0.0296,-0.0054,11520,353,11504,341
L16,GOLD,vs,khe,0.8909,0.8812,-0.0098,-0.0225,-0.0001,11520,187,11504,171
L16,GOLD,vs,nhan,0.8307,0.8222,-0.0085,-0.0218,0.0032,11333,166,11333,170
L16,GOLD,vs,hai_ve,0.8648,0.8539,-0.0108,-0.0188,-0.0026,11520,353,11504,341
L16,moi_tier,pw,khe,0.7411,0.7206,-0.0205,-0.0341,-0.007,13614,453,13586,428
L16,moi_tier,pw,nhan,0.7373,0.7337,-0.0036,-0.0172,0.01,13161,344,13158,347
L16,moi_tier,pw,hai_ve,0.7416,0.7286,-0.013,-0.0228,-0.0019,13614,797,13586,775
L16,moi_tier,vs,khe,0.7083,0.6931,-0.0152,-0.0237,-0.0061,13614,453,13586,428
L16,moi_tier,vs,nhan,0.8126,0.8053,-0.0073,-0.0137,-0.001,13161,344,13158,347
L16,moi_tier,vs,hai_ve,0.7573,0.7473,-0.01,-0.015,-0.0052,13614,797,13586,775
TK,GOLD,pw,khe,0.9659,0.9684,0.0025,-0.0047,0.015,18479,63,18478,65
TK,GOLD,pw,nhan,0.6416,0.6315,-0.0101,-0.0251,0.0052,18416,208,18413,207
TK,GOLD,pw,hai_ve,0.717,0.7121,-0.005,-0.0163,0.0064,18479,271,18478,272
TK,GOLD,vs,khe,0.8882,0.8866,-0.0016,-0.0088,0.0069,18479,63,18478,65
TK,GOLD,vs,nhan,0.6473,0.644,-0.0033,-0.01,0.0027,18416,208,18413,207
TK,GOLD,vs,hai_ve,0.7035,0.7022,-0.0013,-0.0055,0.0036,18479,271,18478,272
TK,moi_tier,pw,khe,0.6963,0.6943,-0.002,-0.01,0.0083,21282,193,21277,193
TK,moi_tier,pw,nhan,0.67,0.6567,-0.0133,-0.0251,-0.0032,21089,375,21084,371
TK,moi_tier,pw,hai_ve,0.6796,0.6702,-0.0094,-0.0179,-0.0018,21282,568,21277,564
TK,moi_tier,vs,khe,0.6588,0.6583,-0.0005,-0.0099,0.0077,21282,193,21277,193
TK,moi_tier,vs,nhan,0.6763,0.6731,-0.0032,-0.0107,0.0025,21089,375,21084,371
TK,moi_tier,vs,hai_ve,0.6711,0.6689,-0.0023,-0.0065,0.0029,21282,568,21277,564
