set,type,truth,dir,dir_name,gold,keep,keep_pct,demote,classes_before,classes_lost,cells_in_lost_classes,n_fix_kept,n_eval,both_pt,both_lo,both_hi,lab_pt,lab_lo,lab_hi,img_pt,img_lo,img_hi,err_lab_cells,err_img_cells,err_both_cells,acc_pess,img_method,img_err_pt,img_err_lo,img_err_hi,img_err_stt_model_only,lab_hi_cands,lab_err_hi_no_nod,lab_method,lab_pess_driver,lab_classes,lab_tk_src,nod_c,nod_bound,lab_err_pt,lab_err_lo,lab_err_hi,lab_err_hi_T,acc_pess_no_nod,err_both_cells_hi,lab_rate_transfer,lab_extra_stt,lab_err_pt_H7,lab_err_hi_H7,img_err_hi_uniform,acc_pess_stt_uniform,acc_pt_H7,acc_pess_H7,acc_pess_H7_uniform,meets
stt2,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17678,17678,100.0,0,968,0,0,0,,0.90904844262634,0.8840476889538816,0.9321221533306737,0.9550611061196297,0.9405909466006289,0.969058037159234,0.9539873365067103,0.9434567423532527,0.9630641161714397,,,1607.8,0.8840476889538816,Σp trượt vòng 2 (STT: bể 1.630–2.500),813.411865234375,652.9525543212891,999.5717086791992,259.9559631347656,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,794.4297660171867,546.9920190990615,1050.2332459940812,,,2049.8,"[0.01001, 0.01432, 0.0227]","[373.7, 549.2, 664.0]",253.13451828568088,401.3073925303255,838.5034245925589,0.8931589166994773,0.9396681534381686,0.9207557924420452,0.9298670201876409,khong
stt2,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17678,12326,69.73,5352,968,90,111,0,,0.9501728420061618,0.9347938230644897,0.966242244599306,0.954539187947921,0.9407932019726015,0.9686035296726342,0.9956336540582407,0.9940006210918881,0.9976387149266719,,,614.2,0.9347938230644897,Σp trượt vòng 2 (STT: bể 1.630–2.500),53.819580078125,29.105199813842773,73.94834442138671,16.67807388305664,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,560.3499693539248,386.9928932551112,729.7829924857139,,,803.7,"[0.01014, 0.01427, 0.02182]","[264.7, 390.0, 471.1]",175.8987568776258,268.9873619172728,584.6472005615952,0.8933611720714498,0.981363107499939,0.9721778592942837,0.9307452083012439,khong
stt2,chép tay (lt1),SUY ĐOÁN,H2,"H1 + bộ kiểm ảnh τ=0,995",17678,1327,7.51,16351,968,844,8095,0,,0.9821951893920843,0.9649174937998548,0.9915408863226314,0.9867822237914661,0.9720295574923019,0.9935623267445248,0.9954129656006181,0.992887936307553,0.9979785595781065,,,23.6,0.9649174937998548,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.086994647979736,2.6824514398525605,9.437708519877209,0.9369382262229919,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,17.539989028724463,8.542792410015625,37.11677720771543,,,46.6,"[0.00231, 0.00712, 0.0207]","[5.5, 8.2, 9.9]",9.443502907436052,27.46570761879597,91.96500464833893,0.9027266150293486,0.9882965353764764,0.972190342020593,0.9099994632500867,khong
stt2,chép tay (lt1),SUY ĐOÁN,H3,H1 + dị bản người,17678,12326,69.73,5352,968,90,111,0,,0.9501728420061618,0.9347938230644897,0.966242244599306,0.954539187947921,0.9407932019726015,0.9686035296726342,0.9956336540582407,0.9940006210918881,0.9976387149266719,,,614.2,0.9347938230644897,Σp trượt vòng 2 (STT: bể 1.630–2.500),53.819580078125,29.105199813842773,73.94834442138671,16.67807388305664,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,560.3499693539248,386.9928932551112,729.7829924857139,,,803.7,"[0.01014, 0.01427, 0.02182]","[264.7, 390.0, 471.1]",175.8987568776258,268.9873619172728,584.6472005615952,0.8933611720714498,0.981363107499939,0.9721778592942837,0.9307452083012439,khong
stt2,chép tay (lt1),SUY ĐOÁN,H4,H1+H2+H3,17678,1327,7.51,16351,968,844,8095,0,,0.9821951893920843,0.9649174937998548,0.9915408863226314,0.9867822237914661,0.9720295574923019,0.9935623267445248,0.9954129656006181,0.992887936307553,0.9979785595781065,,,23.6,0.9649174937998548,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.086994647979736,2.6824514398525605,9.437708519877209,0.9369382262229919,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,17.539989028724463,8.542792410015625,37.11677720771543,,,46.6,"[0.00231, 0.00712, 0.0207]","[5.5, 8.2, 9.9]",9.443502907436052,27.46570761879597,91.96500464833893,0.9027266150293486,0.9882965353764764,0.972190342020593,0.9099994632500867,khong
stt2,chép tay (lt1),SUY ĐOÁN,H5,H1 + vòng sửa hộp,17678,12328,69.74,5350,968,90,111,2,,0.9501601721257108,0.9347893573473449,0.9662386983326676,0.9545317090563966,0.9407992668714058,0.9686069783967685,0.9956284630693142,0.9939900904759391,0.9976317199358992,,,614.4,0.9347893573473449,Σp trượt vòng 2 (STT: bể 1.630–2.500),53.89230728149414,29.196156630235183,74.09016461262269,16.67807388305664,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,560.5330907527431,387.01317032463834,729.8266380093091,,,803.9,"[0.01014, 0.01428, 0.02182]","[264.7, 390.0, 471.1]",176.08692845468138,269.031007440868,584.6472005615952,0.8933749319783497,0.9813449678994017,0.9721673286783347,0.9307529033093395,khong
stt2,chép tay (lt1),SUY ĐOÁN,H6,H4 + vòng sửa hộp,17678,1329,7.52,16349,968,844,8095,2,,0.9820223158116476,0.9648378563557032,0.991289406900839,0.9866571704778243,0.972040502335373,0.9933670713525317,0.9953651453338233,0.9927973540203302,0.9979223355483072,,,23.9,0.9648378563557032,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.159721851348877,2.7612160562996255,9.57231650698112,0.9369382262229919,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,17.73262043497151,8.815162172485373,37.158172396289345,,,46.7,"[0.00251, 0.00725, 0.0207]","[5.5, 8.2, 9.9]",9.637235694597372,27.50710280736989,91.96500464833893,0.9028418532395573,0.9881136512069629,0.9720997597333702,0.9101037566172243,khong
stt2,chép tay (lt1),SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",17678,1272,7.2,16406,968,850,8177,0,,0.9873915552576968,0.9712199613821277,0.994907719885494,0.9914045972877914,0.9774735341270764,0.9967051279404774,0.9959869579699054,0.9937464272550514,0.9982025919450166,,,16.0,0.9712199613821277,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,5.104589462280273,2.286303045938954,7.954544531574707,0.891634464263916,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,10.933352249929287,4.1910772597127295,28.653664590358865,,,36.6,"[0.00231, 0.00712, 0.0207]","[1.3, 1.9, 2.4]",9.052099245108257,26.32733993301317,79.66918056425143,0.9148405305388284,0.9888705277457638,0.9730488329680913,0.916669402124792,khong
stt4,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17440,17440,100.0,0,925,0,0,0,,0.9195457356733097,0.8974328101458725,0.9424059902497764,0.9515585911331004,0.9364485788794658,0.9665546426939685,0.9679871445402093,0.9609842312664068,0.9758513475558079,,,1403.1,0.8974328101458725,Σp trượt vòng 2 (STT: bể 1.630–2.500),558.30419921875,421.15249862670896,680.4350067138672,187.69142150878906,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,844.8181706387302,583.2870314171892,1108.336784342117,,,1788.8,"[0.01001, 0.01432, 0.0227]","[412.8, 603.7, 729.0]",249.72655271536797,395.90456645145815,827.2146014760848,0.8890165489783142,0.9536679614716675,0.9382832813551992,0.9298670201876409,khong
stt4,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17440,11663,66.88,5777,925,100,122,0,,0.9466601424068216,0.9305744382200661,0.9635799642726934,0.9515951858085062,0.9373315824987971,0.966439311132964,0.9950649565983154,0.993242855721269,0.9971406531397294,,,622.1,0.9305744382200661,Σp trượt vòng 2 (STT: bể 1.630–2.500),57.557411193847656,33.34856243133545,78.80857372283934,18.52649688720703,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,564.5453479153919,391.4183142562407,730.9017533165293,,,809.7,"[0.01014, 0.01427, 0.02182]","[276.0, 403.9, 487.0]",166.43738450947183,254.51887084546104,553.1997647371317,0.8898995525976454,0.9807944100400138,0.9714200939236646,0.9307452083012439,khong
