bo,tap,diem,viec,auc_cu,auc_moi,hieu,hieu_lo,hieu_hi,n_cu,am_cu,n_moi,am_moi
L16,GOLD,pw,khe,0.9465,0.9397,-0.0068,-0.017,-0.0017,11520,187,11497,167
L16,GOLD,pw,nhan,0.7577,0.7504,-0.0073,-0.0212,0.0068,11333,166,11330,170
L16,GOLD,pw,hai_ve,0.8583,0.8448,-0.0136,-0.0224,-0.0046,11520,353,11497,337
L16,GOLD,vs,khe,0.8909,0.885,-0.0059,-0.018,0.0024,11520,187,11497,167
L16,GOLD,vs,nhan,0.8307,0.8235,-0.0071,-0.0176,0.0015,11333,166,11330,170
L16,GOLD,vs,hai_ve,0.8648,0.8561,-0.0087,-0.0156,-0.0025,11520,353,11497,337
L16,moi_tier,pw,khe,0.7411,0.7308,-0.0103,-0.0227,0.0071,13614,453,13585,426
L16,moi_tier,pw,nhan,0.7373,0.7379,0.0006,-0.0095,0.0108,13161,344,13159,347
L16,moi_tier,pw,hai_ve,0.7416,0.7362,-0.0054,-0.0135,0.0037,13614,797,13585,773
L16,moi_tier,vs,khe,0.7083,0.6959,-0.0124,-0.022,-0.0014,13614,453,13585,426
L16,moi_tier,vs,nhan,0.8126,0.8061,-0.0065,-0.0128,-0.0009,13161,344,13159,347
L16,moi_tier,vs,hai_ve,0.7573,0.7493,-0.008,-0.0133,-0.0026,13614,797,13585,773
TK,GOLD,pw,khe,0.9659,0.9652,-0.0007,-0.0108,0.0149,18479,63,18481,62
TK,GOLD,pw,nhan,0.6416,0.6318,-0.0097,-0.0241,0.0061,18416,208,18419,207
TK,GOLD,pw,hai_ve,0.717,0.7087,-0.0083,-0.0184,0.0029,18479,271,18481,269
TK,GOLD,vs,khe,0.8882,0.8877,-0.0005,-0.0087,0.0099,18479,63,18481,62
TK,GOLD,vs,nhan,0.6473,0.6417,-0.0056,-0.0128,0.0002,18416,208,18419,207
TK,GOLD,vs,hai_ve,0.7035,0.6986,-0.0049,-0.0107,0.0006,18479,271,18481,269
TK,moi_tier,pw,khe,0.6963,0.701,0.0047,-0.0132,0.0161,21282,193,21278,189
TK,moi_tier,pw,nhan,0.67,0.6591,-0.0109,-0.0219,-0.0012,21089,375,21089,371
TK,moi_tier,pw,hai_ve,0.6796,0.6739,-0.0057,-0.016,0.0029,21282,568,21278,560
TK,moi_tier,vs,khe,0.6588,0.6577,-0.0011,-0.0141,0.0095,21282,193,21278,189
TK,moi_tier,vs,nhan,0.6763,0.6721,-0.0042,-0.0112,0.0011,21089,375,21089,371
TK,moi_tier,vs,hai_ve,0.6711,0.668,-0.0031,-0.0073,0.0014,21282,568,21278,560
