set,type,truth,dir,dir_name,gold,keep,keep_pct,demote,classes_before,classes_lost,cells_in_lost_classes,n_fix_kept,n_eval,both_pt,both_lo,both_hi,lab_pt,lab_lo,lab_hi,img_pt,img_lo,img_hi,err_lab_cells,err_img_cells,err_both_cells,acc_pess,img_method,img_err_pt,img_err_lo,img_err_hi,img_err_stt_model_only,lab_hi_cands,lab_err_hi_no_nod,lab_method,lab_pess_driver,lab_classes,lab_tk_src,nod_c,nod_bound,lab_err_pt,lab_err_lo,lab_err_hi,lab_err_hi_T,acc_pess_no_nod,err_both_cells_hi,lab_rate_transfer,lab_extra_stt,lab_err_pt_H7,lab_err_hi_H7,img_err_hi_uniform,acc_pess_stt_uniform,acc_pt_H7,acc_pess_H7,acc_pess_H7_uniform,meets
stt2,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17678,17678,100.0,0,968,0,0,0,,0.90904844262634,0.8840476889538816,0.9321221533306737,0.9550611061196297,0.9405909466006289,0.969058037159234,0.9539873365067103,0.9434567423532527,0.9630641161714397,,,1607.8,0.8840476889538816,Σp trượt vòng 2 (STT: bể 1.630–2.500),813.411865234375,652.9525543212891,999.5717086791992,259.9559631347656,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,794.4297660171867,546.9920190990615,1050.2332459940812,,,2049.8,"[0.01001, 0.01432, 0.0227]","[373.7, 549.2, 664.0]",253.13451828568088,401.3073925303255,838.5034245925589,0.8931589166994773,0.9396681534381686,0.9207557924420452,0.9298670201876409,khong
stt2,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17678,13158,74.43,4520,968,71,85,0,,0.9507536774521189,0.9353494837854935,0.9666227531454906,0.9550676506917978,0.9412707531038765,0.9689619727793592,0.995686026760321,0.9940787306816169,0.9976607803661314,,,648.0,0.9353494837854935,Σp trượt vòng 2 (STT: bể 1.630–2.500),56.76325988769531,30.77945194244385,77.91206169128417,17.59028434753418,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,591.2198521973244,408.39836216919065,772.759430659192,,,850.7,"[0.01001, 0.01415, 0.02184]","[279.5, 410.8, 496.2]",186.21966452661377,287.4308745069197,624.1106494393534,0.893838723202725,0.9815334454769487,0.9722341589756647,0.9307233983928961,khong
stt2,chép tay (lt1),SUY ĐOÁN,H2,"H1 + bộ kiểm ảnh τ=0,995",17678,2455,13.89,15223,968,802,6873,0,,0.9838506036724293,0.9639787495053036,0.9924261271734856,0.9864656442981006,0.9680266145342277,0.9935822782154661,0.9973849593743287,0.9959521349710759,0.9988438489580195,,,39.6,0.9639787495053036,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.419924736022949,2.8383508080621827,9.937508646008688,1.6281509399414062,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,33.22684324816319,15.755506981030672,78.49466131847106,,,88.4,"[0.00187, 0.00674, 0.02382]","[11.2, 16.8, 20.5]",16.55385050038191,58.46743387064028,98.17260515681029,0.9280377733298243,0.9906420467468819,0.9721364796266195,0.9361955034511403,khong
stt2,chép tay (lt1),SUY ĐOÁN,H3,H1 + dị bản người,17678,13158,74.43,4520,968,71,85,0,,0.9507536774521189,0.9353494837854935,0.9666227531454906,0.9550676506917978,0.9412707531038765,0.9689619727793592,0.995686026760321,0.9940787306816169,0.9976607803661314,,,648.0,0.9353494837854935,Σp trượt vòng 2 (STT: bể 1.630–2.500),56.76325988769531,30.77945194244385,77.91206169128417,17.59028434753418,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,591.2198521973244,408.39836216919065,772.759430659192,,,850.7,"[0.01001, 0.01415, 0.02184]","[279.5, 410.8, 496.2]",186.21966452661377,287.4308745069197,624.1106494393534,0.893838723202725,0.9815334454769487,0.9722341589756647,0.9307233983928961,khong
stt2,chép tay (lt1),SUY ĐOÁN,H4,H1+H2+H3,17678,2455,13.89,15223,968,802,6873,0,,0.9838506036724293,0.9639787495053036,0.9924261271734856,0.9864656442981006,0.9680266145342277,0.9935822782154661,0.9973849593743287,0.9959521349710759,0.9988438489580195,,,39.6,0.9639787495053036,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.419924736022949,2.8383508080621827,9.937508646008688,1.6281509399414062,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,33.22684324816319,15.755506981030672,78.49466131847106,,,88.4,"[0.00187, 0.00674, 0.02382]","[11.2, 16.8, 20.5]",16.55385050038191,58.46743387064028,98.17260515681029,0.9280377733298243,0.9906420467468819,0.9721364796266195,0.9361955034511403,khong
stt2,chép tay (lt1),SUY ĐOÁN,H5,H1 + vòng sửa hộp,17678,13160,74.44,4518,968,71,85,2,,0.9507421856961555,0.9353452126379085,0.9666201044171016,0.9550610297000358,0.9412763586776137,0.9689651684356537,0.9956811559961197,0.9940688539602949,0.9976549359814477,,,648.2,0.9353452126379085,Σp trượt vòng 2 (STT: bể 1.630–2.500),56.83598709106445,30.861042484147347,78.05388188252014,17.59028434753418,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,591.3968491475283,408.4183833867967,772.8031198026039,,,850.9,"[0.01001, 0.01416, 0.02184]","[279.5, 410.8, 496.2]",186.40145274031406,287.47456365033156,624.1106494393534,0.8938515372916446,0.9815169118669165,0.9722242822543425,0.9307306069080786,khong
stt2,chép tay (lt1),SUY ĐOÁN,H6,H4 + vòng sửa hộp,17678,2457,13.9,15221,968,802,6873,2,,0.9836917627477787,0.9639314355779595,0.9920645810522021,0.9863342747296233,0.9680332549331868,0.9932483760877321,0.9973574880181555,0.9958981806447726,0.99881620496447,,,40.1,0.9639314355779595,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,6.49265193939209,2.908584402297229,10.078170155793563,1.6281509399414062,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,33.57668698931555,16.58873995244232,78.54229262915997,,,88.6,"[0.00221, 0.00688, 0.02382]","[11.2, 16.8, 20.5]",16.906008040695,58.51506518132919,98.17260515681029,0.9280769646780748,0.9904767358648404,0.9720825253003164,0.9362280544004317,khong
stt2,chép tay (lt1),SUY ĐOÁN,Rv3,"tham chiếu: H4 + luật A + M-OCR (luật ô v3, bỏ cổng bộ)",17678,2314,13.09,15364,968,816,7033,0,,0.989990081755146,0.9714048879480474,0.9964610913533078,0.9923082451760383,0.9750151984799104,0.9975011787826832,0.9976818365791077,0.996389689468137,0.9989599125706247,,,23.2,0.9714048879480474,Σp(bản bỏ bộ kiểm) × tỉ lệ nhận trượt viết tay Borg; bi quan = không tính bộ kiểm,5.364230155944824,2.4067623115745134,8.354258570731018,1.5337787866592407,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,17.798720662647206,5.782272296871053,57.81483071748745,,,66.2,"[0.00187, 0.00674, 0.02382]","[1.5, 2.2, 2.8]",15.603099819911911,55.10942646707194,84.98145407630864,0.9382902831487484,0.9909389239516608,0.9725740341236807,0.9394594293243818,khong
stt4,chép tay (lt1),SUY ĐOÁN,H0,giữ nguyên GOLD,17440,17440,100.0,0,925,0,0,0,,0.9195457356733097,0.8974328101458725,0.9424059902497764,0.9515585911331004,0.9364485788794658,0.9665546426939685,0.9679871445402093,0.9609842312664068,0.9758513475558079,,,1403.1,0.8974328101458725,Σp trượt vòng 2 (STT: bể 1.630–2.500),558.30419921875,421.15249862670896,680.4350067138672,187.69142150878906,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,844.8181706387302,583.2870314171892,1108.336784342117,,,1788.8,"[0.01001, 0.01432, 0.0227]","[412.8, 603.7, 729.0]",249.72655271536797,395.90456645145815,827.2146014760848,0.8890165489783142,0.9536679614716675,0.9382832813551992,0.9298670201876409,khong
stt4,chép tay (lt1),SUY ĐOÁN,H1,cổng hình học,17440,12172,69.79,5268,925,97,116,0,,0.9469598975312319,0.930795178380767,0.9638439495911647,0.9518403501338929,0.93748889812494,0.9666696627018087,0.995119547397339,0.993306280255827,0.997174286889356,,,645.6,0.930795178380767,Σp trượt vòng 2 (STT: bể 1.630–2.500),59.404869079589844,34.39457998275757,81.47595672607422,19.099002838134766,,,tỉ lệ lỗi nhãn IHR cùng hướng (bi quan = max L16/TK/L83/KVK) + cầu tự dạng/rescue vòng 2 + bể Hán hoá lt1,,,,,,586.1992581702556,405.6968655935853,760.8851320232302,,,842.4,"[0.01001, 0.01415, 0.02184]","[286.7, 419.9, 506.0]",172.2652193812086,265.89212680485076,577.3426679568179,0.8900568682237884,0.9809669661139666,0.9714617085498747,0.9307233983928961,khong
