path,label,unicode,split,source
dataset_out/gold/yen2_page_0012_c01_000.png,二,U+4E8C,train,crop
dataset_out/gold/yen2_page_0012_c01_001.png,月,U+6708,train,crop
dataset_out/gold/yen2_page_0012_c02_005.png,日,U+65E5,train,crop
dataset_out/gold/yen2_page_0012_c02_006.png,翁,U+7FC1,train,crop
dataset_out/gold/yen2_page_0012_c02_009.png,樞,U+6A1E,train,crop
dataset_out/gold/yen2_page_0012_c02_010.png,曰,U+66F0,train,crop
dataset_out/gold/yen2_page_0012_c02_012.png,死,U+6B7B,train,crop
dataset_out/gold/yen2_page_0012_c02_014.png,道,U+9053,train,crop
dataset_out/gold/yen2_page_0012_c03_016.png,翁,U+7FC1,test,crop
dataset_out/gold/yen2_page_0012_c03_021.png,四,U+56DB,test,crop
dataset_out/gold/yen2_page_0012_c03_022.png,翁,U+7FC1,test,crop
dataset_out/gold/yen2_page_0012_c03_023.png,垩,U+57A9,test,crop
dataset_out/gold/yen2_page_0012_c03_028.png,四,U+56DB,test,crop
dataset_out/gold/yen2_page_0012_c03_029.png,奇,U+5947,test,crop
dataset_out/gold/yen2_page_0012_c03_030.png,徳,U+5FB3,test,crop
dataset_out/gold/yen2_page_0012_c03_031.png,主,U+4E3B,test,crop
dataset_out/gold/yen2_page_0012_c03_032.png,支,U+652F,test,crop
dataset_out/gold/yen2_page_0012_c03_033.png,秋,U+79CB,test,crop
dataset_out/gold/yen2_page_0012_c03_035.png,体,U+4F53,test,crop
dataset_out/gold/yen2_page_0012_c04_038.png,徳,U+5FB3,train,crop
dataset_out/gold/yen2_page_0012_c04_039.png,婆,U+5A46,train,crop
dataset_out/gold/yen2_page_0012_c04_042.png,亜,U+4E9C,train,crop
dataset_out/gold/yen2_page_0012_c04_043.png,羣,U+7FA3,train,crop
dataset_out/gold/yen2_page_0012_c04_044.png,於,U+65BC,train,crop
dataset_out/gold/yen2_page_0012_c04_045.png,世,U+4E16,train,crop
dataset_out/gold/yen2_page_0012_c04_046.png,間,U+9593,train,crop
dataset_out/gold/yen2_page_0012_c04_047.png,朱,U+6731,train,crop
dataset_out/gold/yen2_page_0012_c04_048.png,年,U+5E74,train,crop
dataset_out/gold/yen2_page_0012_c04_049.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c04_051.png,垩,U+57A9,train,crop
dataset_out/gold/yen2_page_0012_c04_052.png,奇,U+5947,train,crop
dataset_out/gold/yen2_page_0012_c04_053.png,喡,U+55A1,train,crop
dataset_out/gold/yen2_page_0012_c04_054.png,曰,U+66F0,train,crop
dataset_out/gold/yen2_page_0012_c04_055.png,無,U+7121,train,crop
dataset_out/gold/yen2_page_0012_c04_056.png,城,U+57CE,train,crop
dataset_out/gold/yen2_page_0012_c04_058.png,卑,U+5351,train,crop
dataset_out/gold/yen2_page_0012_c05_059.png,塢,U+5862,train,crop
dataset_out/gold/yen2_page_0012_c05_062.png,意,U+610F,train,crop
dataset_out/gold/yen2_page_0012_c05_063.png,君,U+541B,train,crop
dataset_out/gold/yen2_page_0012_c05_064.png,箸,U+7BB8,train,crop
dataset_out/gold/yen2_page_0012_c05_066.png,先,U+5148,train,crop
dataset_out/gold/yen2_page_0012_c05_068.png,查,U+67E5,train,crop
dataset_out/gold/yen2_page_0012_c05_069.png,加,U+52A0,train,crop
dataset_out/gold/yen2_page_0012_c05_070.png,奴,U+5974,train,crop
dataset_out/gold/yen2_page_0012_c05_072.png,打,U+6253,train,crop
dataset_out/gold/yen2_page_0012_c05_073.png,特,U+7279,train,crop
dataset_out/gold/yen2_page_0012_c05_074.png,賊,U+8CCA,train,crop
dataset_out/gold/yen2_page_0012_c05_075.png,渃,U+6E03,train,crop
dataset_out/gold/yen2_page_0012_c05_076.png,批,U+6279,train,crop
dataset_out/gold/yen2_page_0012_c05_077.png,吹,U+5439,train,crop
dataset_out/gold/yen2_page_0012_c06_079.png,麻,U+9EBB,train,crop
dataset_out/gold/yen2_page_0012_c06_080.png,𧗱,U+275F1,train,crop
dataset_out/gold/yen2_page_0012_c06_081.png,寺,U+5BFA,train,crop
dataset_out/gold/yen2_page_0012_c06_083.png,戈,U+6208,train,crop
dataset_out/gold/yen2_page_0012_c06_084.png,成,U+6210,train,crop
dataset_out/gold/yen2_page_0012_c06_086.png,𤰞,U+24C1E,train,crop
dataset_out/gold/yen2_page_0012_c06_087.png,烏,U+70CF,train,crop
dataset_out/gold/yen2_page_0012_c06_089.png,連,U+9023,train,crop
dataset_out/gold/yen2_page_0012_c06_091.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c06_092.png,麻,U+9EBB,train,crop
dataset_out/gold/yen2_page_0012_c06_094.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0012_c06_095.png,眉,U+7709,train,crop
dataset_out/gold/yen2_page_0012_c06_096.png,伂,U+4F02,train,crop
dataset_out/gold/yen2_page_0012_c06_098.png,那,U+90A3,train,crop
dataset_out/gold/yen2_page_0012_c07_099.png,樞,U+6A1E,train,crop
dataset_out/gold/yen2_page_0012_c07_100.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c07_101.png,些,U+4E9B,train,crop
dataset_out/gold/yen2_page_0012_c07_103.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0012_c07_105.png,批,U+6279,train,crop
dataset_out/gold/yen2_page_0012_c07_109.png,庒,U+5E92,train,crop
dataset_out/gold/yen2_page_0012_c07_112.png,庄,U+5E84,train,crop
dataset_out/gold/yen2_page_0012_c07_113.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c07_115.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0012_c07_116.png,奏,U+594F,train,crop
dataset_out/gold/yen2_page_0012_c08_119.png,碎,U+788E,train,crop
dataset_out/gold/yen2_page_0012_c08_120.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c08_121.png,些,U+4E9B,train,crop
dataset_out/gold/yen2_page_0012_c08_122.png,噲,U+5672,train,crop
dataset_out/gold/yen2_page_0012_c08_123.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0012_c08_125.png,批,U+6279,train,crop
dataset_out/gold/yen2_page_0012_c08_127.png,爲,U+7232,train,crop
dataset_out/gold/yen2_page_0012_c08_128.png,中,U+4E2D,train,crop
dataset_out/gold/yen2_page_0012_c08_129.png,弄,U+5F04,train,crop
dataset_out/gold/yen2_page_0012_c08_131.png,想,U+60F3,train,crop
dataset_out/gold/yen2_page_0012_c08_132.png,徳,U+5FB3,train,crop
dataset_out/gold/yen2_page_0012_c08_133.png,主,U+4E3B,train,crop
dataset_out/gold/yen2_page_0012_c08_135.png,秋,U+79CB,train,crop
dataset_out/gold/yen2_page_0012_c08_137.png,主,U+4E3B,train,crop
dataset_out/gold/yen2_page_0012_c08_138.png,衆,U+8846,train,crop
dataset_out/gold/yen2_page_0012_c09_142.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0012_c09_145.png,固,U+56FA,train,crop
dataset_out/gold/yen2_page_0012_c09_146.png,想,U+60F3,train,crop
dataset_out/gold/yen2_page_0012_c09_150.png,庄,U+5E84,train,crop
dataset_out/gold/yen2_page_0012_c09_151.png,想,U+60F3,train,crop
dataset_out/gold/yen2_page_0012_c09_153.png,𦔳,U+26533,train,crop
dataset_out/gold/yen2_page_0012_c09_157.png,㝵,U+3775,train,crop
dataset_out/gold/yen2_page_0012_c09_158.png,把,U+628A,train,crop
dataset_out/gold/yen2_page_0012_c09_160.png,浪,U+6D6A,train,crop
dataset_out/gold/yen2_page_0014_c01_000.png,忌,U+5FCC,train,crop
dataset_out/gold/yen2_page_0014_c01_001.png,法,U+6CD5,train,crop
dataset_out/gold/yen2_page_0014_c01_003.png,之,U+4E4B,train,crop
dataset_out/gold/yen2_page_0014_c01_004.png,固,U+56FA,train,crop
dataset_out/gold/yen2_page_0014_c01_006.png,法,U+6CD5,train,crop
dataset_out/gold/yen2_page_0014_c01_007.png,徳,U+5FB3,train,crop
dataset_out/gold/yen2_page_0014_c01_008.png,主,U+4E3B,train,crop
dataset_out/gold/yen2_page_0014_c01_011.png,年,U+5E74,train,crop
dataset_out/gold/yen2_page_0014_c01_013.png,坦,U+5766,train,crop
dataset_out/gold/yen2_page_0014_c01_014.png,其,U+5176,train,crop
dataset_out/gold/yen2_page_0014_c01_015.png,門,U+9580,train,crop
dataset_out/gold/yen2_page_0014_c01_017.png,固,U+56FA,train,crop
dataset_out/gold/yen2_page_0014_c01_018.png,法,U+6CD5,train,crop
dataset_out/gold/yen2_page_0014_c01_019.png,破,U+7834,train,crop
dataset_out/gold/yen2_page_0014_c01_021.png,共,U+5171,train,crop
dataset_out/gold/yen2_page_0014_c02_024.png,麻,U+9EBB,train,crop
dataset_out/gold/yen2_page_0014_c02_027.png,之,U+4E4B,train,crop
dataset_out/gold/yen2_page_0014_c02_029.png,别,U+522B,train,crop
dataset_out/gold/yen2_page_0014_c02_030.png,事,U+4E8B,train,crop
dataset_out/gold/yen2_page_0014_c02_032.png,訴,U+8A34,train,crop
dataset_out/gold/yen2_page_0014_c02_033.png,詳,U+8A73,train,crop
dataset_out/gold/yen2_page_0014_c02_034.png,寺,U+5BFA,train,crop
dataset_out/gold/yen2_page_0014_c02_036.png,卢,U+5362,train,crop
dataset_out/gold/yen2_page_0014_c02_037.png,賊,U+8CCA,train,crop
dataset_out/gold/yen2_page_0014_c02_038.png,其,U+5176,train,crop
dataset_out/gold/yen2_page_0014_c02_039.png,每,U+6BCF,train,crop
dataset_out/gold/yen2_page_0014_c02_040.png,事,U+4E8B,train,crop
dataset_out/gold/yen2_page_0014_c02_041.png,庫,U+5EAB,train,crop
dataset_out/gold/yen2_page_0014_c02_042.png,女,U+5973,train,crop
dataset_out/gold/yen2_page_0014_c03_044.png,宜,U+5B9C,train,crop
dataset_out/gold/yen2_page_0014_c03_046.png,意,U+610F,train,crop
dataset_out/gold/yen2_page_0014_c03_047.png,連,U+9023,train,crop
dataset_out/gold/yen2_page_0014_c03_049.png,内,U+5185,train,crop
dataset_out/gold/yen2_page_0014_c03_050.png,旦,U+65E6,train,crop
dataset_out/gold/yen2_page_0014_c03_051.png,事,U+4E8B,train,crop
dataset_out/gold/yen2_page_0014_c03_052.png,意,U+610F,train,crop
dataset_out/gold/yen2_page_0014_c03_054.png,之,U+4E4B,train,crop
dataset_out/gold/yen2_page_0014_c03_055.png,眉,U+7709,train,crop
dataset_out/gold/yen2_page_0014_c03_057.png,葉,U+8449,train,crop
dataset_out/gold/yen2_page_0014_c03_058.png,弄,U+5F04,train,crop
dataset_out/gold/yen2_page_0014_c03_059.png,蚤,U+86A4,train,crop
dataset_out/gold/yen2_page_0014_c03_060.png,寺,U+5BFA,train,crop
dataset_out/gold/yen2_page_0014_c03_061.png,𥙷,U+25677,train,crop
dataset_out/gold/yen2_page_0014_c03_062.png,意,U+610F,train,crop
dataset_out/gold/yen2_page_0014_c03_063.png,眉,U+7709,train,crop
dataset_out/gold/yen2_page_0014_c03_064.png,麻,U+9EBB,train,crop
