ヌ	U+30CC
ㇶ	U+31F6
㐌	U+340C
㑏	U+344F
㑑	U+3451
㒭	U+34AD
㒸	U+34B8
㓜	U+34DC
㓟	U+34DF
㔻	U+353B
㕚	U+355A
㕠	U+3560
㕵	U+3575
㖇	U+3587
㖠	U+35A0
㖫	U+35AB
㗀	U+35C0
㗂	U+35C2
㘨	U+3628
㘭	U+362D
㙘	U+3658
㙺	U+367A
㛎	U+36CE
㛟	U+36DF
㜫	U+372B
㝵	U+3775
㝶	U+3776
㝹	U+3779
㞸	U+37B8
㞼	U+37BC
㞾	U+37BE
㡇	U+3847
㣉	U+38C9
㣍	U+38CD
㣼	U+38FC
㤈	U+3908
㤨	U+3928
㤩	U+3929
㤫	U+392B
㥀	U+3940
㥁	U+3941
㥃	U+3943
㦖	U+3996
㦸	U+39B8
㧅	U+39C5
㧐	U+39D0
㨔	U+3A14
㩺	U+3A7A
㪗	U+3A97
㫑	U+3AD1
㫜	U+3ADC
㫭	U+3AED
㫾	U+3AFE
㭁	U+3B41
㮲	U+3BB2
㮶	U+3BB6
㳈	U+3CC8
㴝	U+3D1D
㵋	U+3D4B
㵭	U+3D6D
㶤	U+3DA4
㷻	U+3DFB
㸃	U+3E03
㸣	U+3E23
㺒	U+3E92
㼈	U+3F08
㽒	U+3F52
㽵	U+3F75
㾘	U+3F98
㾹	U+3FB9
䀆	U+4006
䀡	U+4021
䁛	U+405B
䁟	U+405F
䃼	U+40FC
䄌	U+410C
䄡	U+4121
䄭	U+412D
䄺	U+413A
䅻	U+417B
䆈	U+4188
䆟	U+419F
䈚	U+421A
䈵	U+4235
䊍	U+428D
䊏	U+428F
䋠	U+42E0
䎴	U+43B4
䏦	U+43E6
䏵	U+43F5
䑃	U+4443
䑕	U+4455
䓖	U+44D6
䓦	U+44E6
䔠	U+4520
䔤	U+4524
䕌	U+454C
䗂	U+45C2
䗅	U+45C5
䘙	U+4619
䘚	U+461A
䘹	U+4639
䙷	U+4677
䙸	U+4678
䛏	U+46CF
䜣	U+4723
䝜	U+475C
䠋	U+480B
䠻	U+483B
䤺	U+493A
䥚	U+495A
䥝	U+495D
䦓	U+4993
䧨	U+49E8
䧹	U+49F9
䫜	U+4ADC
䭫	U+4B6B
䭬	U+4B6C
䲼	U+4CBC
丂	U+4E02
万	U+4E07
三	U+4E09
下	U+4E0B
不	U+4E0D
与	U+4E0E
丐	U+4E10
丑	U+4E11
且	U+4E14
丕	U+4E15
世	U+4E16
丗	U+4E17
业	U+4E1A
丞	U+4E1E
个	U+4E2A
丫	U+4E2B
中	U+4E2D
串	U+4E32
主	U+4E3B
乄	U+4E44
么	U+4E48
乌	U+4E4C
乍	U+4E4D
乑	U+4E51
乙	U+4E59
也	U+4E5F
乣	U+4E63
乧	U+4E67
乩	U+4E69
乯	U+4E6F
乹	U+4E79
乾	U+4E7E
乿	U+4E7F
亁	U+4E81
了	U+4E86
于	U+4E8E
亏	U+4E8F
亐	U+4E90
亖	U+4E96
亗	U+4E97
亙	U+4E99
些	U+4E9B
亜	U+4E9C
亞	U+4E9E
亟	U+4E9F
亠	U+4EA0
亡	U+4EA1
亢	U+4EA2
亦	U+4EA6
亲	U+4EB2
亶	U+4EB6
亾	U+4EBE
什	U+4EC0
仈	U+4EC8
仉	U+4EC9
仍	U+4ECD
仕	U+4ED5
仙	U+4ED9
仨	U+4EE8
仪	U+4EEA
仲	U+4EF2
仳	U+4EF3
仹	U+4EF9
伂	U+4F02
伏	U+4F0F
伖	U+4F16
伙	U+4F19
伣	U+4F23
伵	U+4F35
伺	U+4F3A
但	U+4F46
佇	U+4F47
佌	U+4F4C
位	U+4F4D
低	U+4F4E
体	U+4F53
佔	U+4F54
佘	U+4F58
佹	U+4F79
佼	U+4F7C
使	U+4F7F
來	U+4F86
侍	U+4F8D
侒	U+4F92
侙	U+4F99
侚	U+4F9A
供	U+4F9B
侞	U+4F9E
侭	U+4FAD
侴	U+4FB4
侼	U+4FBC
促	U+4FC3
俅	U+4FC5
俐	U+4FD0
俕	U+4FD5
俛	U+4FDB
信	U+4FE1
俢	U+4FE2
俫	U+4FEB
俬	U+4FEC
修	U+4FEE
俰	U+4FF0
俼	U+4FFC
俽	U+4FFD
倂	U+5002
倅	U+5005
倈	U+5008
個	U+500B
倎	U+500E
倏	U+500F
倐	U+5010
倓	U+5013
倘	U+5018
倚	U+501A
倛	U+501B
倞	U+501E
借	U+501F
値	U+5024
倳	U+5033
值	U+503C
偁	U+5041
偦	U+5066
偨	U+5068
偪	U+506A
偯	U+506F
偺	U+507A
偾	U+507E
傀	U+5080
傉	U+5089
傌	U+508C
傕	U+5095
傞	U+509E
傦	U+50A6
僘	U+50D8
僛	U+50DB
僤	U+50E4
儀	U+5100
儍	U+510D
儘	U+5118
儸	U+5138
儻	U+513B
兀	U+5140
免	U+514D
兦	U+5166
兮	U+516E
共	U+5171
其	U+5176
具	U+5177
典	U+5178
兹	U+5179
冇	U+5187
冉	U+5189
冘	U+5198
冲	U+51B2
凌	U+51CC
凘	U+51D8
凫	U+51EB
凹	U+51F9
出	U+51FA
击	U+51FB
凼	U+51FC
刀	U+5200
刅	U+5205
切	U+5207
刎	U+520E
创	U+521B
初	U+521D
別	U+5225
到	U+5230
刱	U+5231
券	U+5238
剃	U+5243
剎	U+524E
剏	U+524F
剔	U+5254
剙	U+5259
剢	U+5262
副	U+526F
剴	U+5274
創	U+5275
剾	U+527E
力	U+529B
办	U+529E
功	U+529F
加	U+52A0
务	U+52A1
劣	U+52A3
劥	U+52A5
努	U+52AA
励	U+52B1
劳	U+52B3
势	U+52BF
勅	U+52C5
勑	U+52D1
勜	U+52DC
勢	U+52E2
勧	U+52E7
勯	U+52EF
勸	U+52F8
勺	U+52FA
匆	U+5306
匕	U+5315
匙	U+5319
匛	U+531B
匠	U+5320
匹	U+5339
匿	U+533F
千	U+5343
卆	U+5346
午	U+5348
卋	U+534B
卍	U+534D
卑	U+5351
卒	U+5352
南	U+5357
卟	U+535F
占	U+5360
卣	U+5363
卥	U+5365
卦	U+5366
卯	U+536F
即	U+5373
厉	U+5389
厏	U+538F
厠	U+53A0
厢	U+53A2
厮	U+53AE
厰	U+53B0
厲	U+53B2
厶	U+53B6
厷	U+53B7
厹	U+53B9
去	U+53BB
参	U+53C2
參	U+53C3
又	U+53C8
双	U+53CC
叓	U+53D3
受	U+53D7
古	U+53E4
另	U+53E6
叨	U+53E8
只	U+53EA
召	U+53EC
台	U+53F0
右	U+53F3
叵	U+53F5
号	U+53F7
司	U+53F8
叹	U+53F9
叻	U+53FB
吁	U+5401
各	U+5404
合	U+5408
吉	U+5409
同	U+540C
吏	U+540F
吔	U+5414
吕	U+5415
吗	U+5417
君	U+541B
吧	U+5427
吨	U+5428
吱	U+5431
吻	U+543B
吽	U+543D
呀	U+5440
呇	U+5447
呒	U+5452
呛	U+545B
呜	U+545C
呢	U+5462
呣	U+5463
呦	U+5466
呫	U+546B
呯	U+546F
呰	U+5470
呲	U+5472
呵	U+5475
呶	U+5476
呸	U+5478
命	U+547D
咀	U+5480
和	U+548C
咍	U+548D
咓	U+5493
咕	U+5495
咛	U+549B
咠	U+54A0
咦	U+54A6
咨	U+54A8
咮	U+54AE
咱	U+54B1
哀	U+54C0
哈	U+54C8
哎	U+54CE
哏	U+54CF
哑	U+54D1
哴	U+54F4
哸	U+54F8
哺	U+54FA
哿	U+54FF
唆	U+5506
唉	U+5509
唒	U+5512
唔	U+5514
唞	U+551E
唤	U+5524
唭	U+552D
唷	U+5537
唹	U+5539
啉	U+5549
啊	U+554A
啑	U+5551
啔	U+5554
啝	U+555D
啞	U+555E
啟	U+555F
啤	U+5564
啰	U+5570
啴	U+5574
啾	U+557E
喁	U+5581
喃	U+5583
喍	U+558D
喒	U+5592
喓	U+5593
喝	U+559D
喠	U+55A0
喡	U+55A1
喨	U+55A8
單	U+55AE
喯	U+55AF
喻	U+55BB
嗄	U+55C4
嗆	U+55C6
嗎	U+55CE
嗚	U+55DA
嗞	U+55DE
嗟	U+55DF
嗡	U+55E1
嗣	U+55E3
嗩	U+55E9
嗳	U+55F3
嗹	U+55F9
嘆	U+5606
嘇	U+5607
嘓	U+5613
嘙	U+5619
嘛	U+561B
嘶	U+5636
嘸	U+5638
噍	U+564D
噎	U+564E
