book,page,column,n_ocr,n_qn,n_det,count_source
stt11,page_0010,1,7,7,7,equal_qn
stt11,page_0010,2,20,21,21,equal_qn
stt11,page_0010,3,20,20,22,conflict
stt11,page_0010,4,22,21,21,equal_qn
stt11,page_0010,5,21,21,21,equal_qn
stt11,page_0010,6,20,22,21,legacy_locked_col
stt11,page_0010,7,22,22,22,equal_qn
stt11,page_0010,8,21,21,21,equal_qn
stt11,page_0010,9,23,23,23,equal_qn
stt11,page_0010_p0028,2,23,23,23,equal_qn
stt11,page_0010_p0028,3,24,24,24,equal_qn
stt11,page_0010_p0028,4,24,19,23,conflict
stt11,page_0010_p0028,5,44,20,27,conflict
stt11,page_0010_p0028,6,24,10,24,equal_ocr
stt11,page_0010_p0028,7,23,24,23,equal_ocr
stt11,page_0010_p0028,8,23,22,23,equal_ocr
stt11,page_0010_p0028,9,22,47,23,legacy_locked_col
stt11,page_0010_p0220,1,22,22,22,legacy_locked_col
stt11,page_0010_p0220,2,21,21,21,legacy_locked_col
stt11,page_0010_p0220,3,21,21,21,legacy_locked_col
stt11,page_0010_p0220,4,23,23,23,legacy_locked_col
stt11,page_0010_p0220,5,21,22,21,legacy_locked_col
stt11,page_0010_p0220,6,22,22,22,legacy_locked_col
stt11,page_0010_p0220,7,22,23,21,legacy_locked_col
stt11,page_0010_p0220,8,23,23,23,equal_qn
stt11,page_0010_p0220,9,22,22,21,legacy_locked_col
stt11,page_0012,1,21,21,21,equal_qn
stt11,page_0012,2,22,22,23,conflict
stt11,page_0012,3,21,21,21,legacy_locked_col
stt11,page_0012,4,22,22,22,equal_qn
stt11,page_0012,5,21,21,21,equal_qn
stt11,page_0012,6,22,22,22,equal_qn
stt11,page_0012,7,20,24,21,conflict
stt11,page_0012,8,22,23,22,equal_ocr
stt11,page_0012,9,21,21,21,legacy_locked_col
stt11,page_0014,1,21,21,21,equal_qn
stt11,page_0014,2,21,23,22,conflict
stt11,page_0014,3,22,22,22,equal_qn
stt11,page_0014,4,22,22,22,equal_qn
stt11,page_0014,5,23,23,23,equal_qn
stt11,page_0014,6,21,20,21,equal_ocr
stt11,page_0014,7,21,21,21,legacy_locked_col
stt11,page_0014,8,20,22,23,conflict
stt11,page_0014,9,22,24,24,legacy_locked_col
stt11,page_0016,1,25,22,22,equal_qn
stt11,page_0016,2,22,25,22,equal_ocr
stt11,page_0016,3,21,21,22,conflict
stt11,page_0016,4,23,24,23,legacy_locked_col
stt11,page_0016,5,22,21,22,legacy_locked_col
stt11,page_0016,6,22,22,22,legacy_locked_col
stt11,page_0016,7,22,22,22,equal_qn
stt11,page_0016,8,22,22,22,equal_qn
stt11,page_0016,9,22,22,22,equal_qn
stt11,page_0018,1,21,21,21,equal_qn
stt11,page_0018,2,22,22,22,equal_qn
stt11,page_0018,3,22,22,22,equal_qn
stt11,page_0018,4,22,21,22,legacy_locked_col
stt11,page_0018,5,22,22,22,equal_qn
stt11,page_0018,6,20,20,21,conflict
stt11,page_0018,7,24,24,24,legacy_locked_col
stt11,page_0018,8,6,5,5,equal_qn
stt11,page_0018,9,16,15,17,conflict
stt11,page_0020,1,12,12,13,conflict
stt11,page_0020,2,23,23,21,legacy_locked_col
stt11,page_0020,3,24,24,24,equal_qn
stt11,page_0020,4,23,23,23,equal_qn
stt11,page_0020,5,24,22,24,equal_ocr
stt11,page_0020,6,24,24,24,equal_qn
stt11,page_0020,7,23,23,23,equal_qn
stt11,page_0020,8,26,26,26,equal_qn
stt11,page_0020,9,23,24,23,equal_ocr
stt11,page_0022,1,27,23,24,conflict
stt11,page_0022,2,23,25,23,equal_ocr
stt11,page_0022,3,24,24,24,equal_qn
stt11,page_0022,4,22,22,22,equal_qn
stt11,page_0022,5,23,23,23,equal_qn
stt11,page_0022,6,23,23,24,conflict
stt11,page_0022,7,23,23,23,equal_qn
stt11,page_0022,8,23,23,23,equal_qn
stt11,page_0022,9,24,25,24,legacy_locked_col
stt11,page_0024,1,23,23,23,equal_qn
stt11,page_0024,2,22,22,22,equal_qn
stt11,page_0024,3,22,22,22,equal_qn
stt11,page_0024,4,23,23,23,equal_qn
stt11,page_0024,5,23,22,23,equal_ocr
stt11,page_0024,6,24,23,23,equal_qn
stt11,page_0024,7,23,23,23,equal_qn
stt11,page_0024,8,24,24,24,equal_qn
stt11,page_0024,9,23,23,19,legacy_locked_col
stt11,page_0026,1,21,23,23,equal_qn
stt11,page_0026,2,22,22,22,legacy_locked_col
stt11,page_0026,3,22,22,22,legacy_locked_col
stt11,page_0026,4,23,23,23,equal_qn
stt11,page_0026,5,24,25,24,equal_ocr
stt11,page_0026,6,23,23,23,equal_qn
stt11,page_0026,7,23,23,23,equal_qn
stt11,page_0026,8,24,24,24,equal_qn
stt11,page_0026,9,23,23,23,equal_qn
stt11,page_0028,1,22,22,22,legacy_locked_col
stt11,page_0028,2,22,22,22,equal_qn
stt11,page_0028,3,21,21,21,legacy_locked_col
stt11,page_0028,4,22,22,22,equal_qn
stt11,page_0028,5,23,23,23,equal_qn
stt11,page_0028,6,23,23,23,equal_qn
stt11,page_0028,7,23,23,23,equal_qn
stt11,page_0028,8,23,23,23,equal_qn
stt11,page_0028,9,23,23,23,equal_qn
stt11,page_0030,1,23,23,24,conflict
stt11,page_0030,2,22,21,22,equal_ocr
stt11,page_0030,3,22,22,22,legacy_locked_col
stt11,page_0030,4,22,22,22,equal_qn
stt11,page_0030,5,23,23,22,conflict
stt11,page_0030,6,3,3,3,equal_qn
stt11,page_0030,7,21,19,20,conflict
stt11,page_0030,8,11,11,11,equal_qn
stt11,page_0030,9,23,24,19,legacy_locked_col
stt11,page_0032,1,21,21,21,legacy_locked_col
stt11,page_0032,2,22,22,22,legacy_locked_col
stt11,page_0032,3,22,22,22,legacy_locked_col
stt11,page_0032,4,21,21,21,equal_qn
stt11,page_0032,5,22,22,22,legacy_locked_col
stt11,page_0032,6,22,22,22,equal_qn
stt11,page_0032,7,20,21,22,conflict
stt11,page_0032,8,21,22,21,legacy_locked_col
stt11,page_0032,9,23,23,23,equal_qn
stt11,page_0034,1,24,22,22,legacy_locked_col
stt11,page_0034,2,22,24,21,legacy_locked_col
stt11,page_0034,3,22,22,22,legacy_locked_col
stt11,page_0034,4,23,21,23,equal_ocr
stt11,page_0034,5,22,23,21,legacy_locked_col
stt11,page_0034,6,22,22,22,legacy_locked_col
stt11,page_0034,7,22,24,22,legacy_locked_col
stt11,page_0034,8,21,22,22,equal_qn
stt11,page_0034,9,22,22,22,equal_qn
stt11,page_0036,1,22,22,22,equal_qn
stt11,page_0036,2,21,17,21,legacy_locked_col
stt11,page_0036,3,22,22,22,legacy_locked_col
stt11,page_0036,4,22,23,23,equal_qn
stt11,page_0036,5,21,21,21,equal_qn
stt11,page_0036,6,22,22,22,legacy_locked_col
stt11,page_0036,7,22,22,22,equal_qn
stt11,page_0036,8,22,22,23,conflict
stt11,page_0036,9,23,23,24,conflict
stt11,page_0040,1,23,23,23,equal_qn
stt11,page_0040,2,24,25,24,equal_ocr
stt11,page_0040,3,23,24,23,legacy_locked_col
stt11,page_0040,4,22,22,22,legacy_locked_col
stt11,page_0040,5,24,23,24,legacy_locked_col
stt11,page_0040,6,24,24,24,equal_qn
stt11,page_0040,7,22,24,23,conflict
stt11,page_0040,8,24,24,24,legacy_locked_col
stt11,page_0040,9,23,21,23,equal_ocr
stt11,page_0042,1,23,23,23,legacy_locked_col
stt11,page_0042,2,2,2,2,equal_qn
stt11,page_0042,3,21,15,21,equal_ocr
stt11,page_0042,4,16,16,16,equal_qn
stt11,page_0042,5,23,23,23,legacy_locked_col
stt11,page_0042,6,23,23,23,equal_qn
stt11,page_0042,7,24,23,24,equal_ocr
stt11,page_0042,8,22,22,22,legacy_locked_col
stt11,page_0042,9,24,26,25,conflict
stt11,page_0044,1,24,24,24,equal_qn
stt11,page_0044,2,24,23,21,legacy_locked_col
stt11,page_0044,3,22,22,21,legacy_locked_col
stt11,page_0044,4,24,24,24,equal_qn
stt11,page_0044,5,22,22,22,legacy_locked_col
stt11,page_0044,6,4,4,4,equal_qn
stt11,page_0044,7,17,15,17,equal_ocr
stt11,page_0044,8,18,19,19,equal_qn
stt11,page_0044,9,24,24,24,equal_qn
stt11,page_0046,1,22,25,22,equal_ocr
stt11,page_0046,2,21,6,21,equal_ocr
stt11,page_0046,3,21,6,21,equal_ocr
stt11,page_0046,4,20,51,21,legacy_locked_col
stt11,page_0046,5,20,20,20,equal_qn
stt11,page_0046,6,22,21,22,equal_ocr
stt11,page_0046,7,21,21,20,legacy_locked_col
stt11,page_0046,8,21,21,22,conflict
stt11,page_0046,9,22,22,21,legacy_locked_col
stt11,page_0048,1,22,23,22,equal_ocr
stt11,page_0048,2,22,22,22,legacy_locked_col
stt11,page_0048,3,21,21,21,legacy_locked_col
stt11,page_0048,4,21,21,21,equal_qn
stt11,page_0048,5,21,21,21,equal_qn
stt11,page_0048,6,21,21,21,equal_qn
stt11,page_0048,7,21,21,21,legacy_locked_col
stt11,page_0048,8,21,21,22,conflict
stt11,page_0048,9,21,21,21,legacy_locked_col
