ヌ	U+30CC
ㇶ	U+31F6
㐌	U+340C
㐭	U+342D
㐰	U+3430
㐻	U+343B
㑏	U+344F
㑑	U+3451
㑞	U+345E
㑨	U+3468
㒭	U+34AD
㒶	U+34B6
㒷	U+34B7
㒸	U+34B8
㓇	U+34C7
㓚	U+34DA
㓛	U+34DB
㓜	U+34DC
㓟	U+34DF
㓤	U+34E4
㔻	U+353B
㕓	U+3553
㕚	U+355A
㕝	U+355D
㕟	U+355F
㕠	U+3560
㕮	U+356E
㕯	U+356F
㕰	U+3570
㕵	U+3575
㕸	U+3578
㖁	U+3581
㖂	U+3582
㖇	U+3587
㖠	U+35A0
㖫	U+35AB
㗀	U+35C0
㗂	U+35C2
㗇	U+35C7
㗉	U+35C9
㗌	U+35CC
㗖	U+35D6
㗚	U+35DA
㗱	U+35F1
㘋	U+360B
㘖	U+3616
㘙	U+3619
㘨	U+3628
㘬	U+362C
㘭	U+362D
㘿	U+363F
㙁	U+3641
㙘	U+3658
㙺	U+367A
㙻	U+367B
㚁	U+3681
㚤	U+36A4
㚺	U+36BA
㛎	U+36CE
㛟	U+36DF
㛪	U+36EA
㜕	U+3715
㜥	U+3725
㜫	U+372B
㝖	U+3756
㝙	U+3759
㝵	U+3775
㝶	U+3776
㝹	U+3779
㞌	U+378C
㞢	U+37A2
㞸	U+37B8
㞼	U+37BC
㞾	U+37BE
㠘	U+3818
㠱	U+3831
㡇	U+3847
㡯	U+386F
㡴	U+3874
㢅	U+3885
㢆	U+3886
㢲	U+38B2
㣉	U+38C9
㣍	U+38CD
㣼	U+38FC
㤅	U+3905
㤈	U+3908
㤒	U+3912
㤓	U+3913
㤝	U+391D
㤨	U+3928
㤩	U+3929
㤫	U+392B
㥀	U+3940
㥁	U+3941
㥃	U+3943
㥈	U+3948
㥲	U+3972
㦉	U+3989
㦖	U+3996
㦤	U+39A4
㦸	U+39B8
㧅	U+39C5
㧌	U+39CC
㧐	U+39D0
㧧	U+39E7
㧾	U+39FE
㨋	U+3A0B
㨐	U+3A10
㨔	U+3A14
㨱	U+3A31
㨳	U+3A33
㩡	U+3A61
㩤	U+3A64
㩧	U+3A67
㩫	U+3A6B
㩺	U+3A7A
㪗	U+3A97
㪛	U+3A9B
㫁	U+3AC1
㫑	U+3AD1
㫗	U+3AD7
㫜	U+3ADC
㫧	U+3AE7
㫭	U+3AED
㫾	U+3AFE
㭁	U+3B41
㭲	U+3B72
㮔	U+3B94
㮲	U+3BB2
㮶	U+3BB6
㮺	U+3BBA
㯍	U+3BCD
㯲	U+3BF2
㯷	U+3BF7
㰁	U+3C01
㰃	U+3C03
㱅	U+3C45
㱼	U+3C7C
㱽	U+3C7D
㳃	U+3CC3
㳄	U+3CC4
㳈	U+3CC8
㳯	U+3CEF
㳹	U+3CF9
㴝	U+3D1D
㵋	U+3D4B
㵢	U+3D62
㵭	U+3D6D
㶤	U+3DA4
㶥	U+3DA5
㷉	U+3DC9
㷻	U+3DFB
㸃	U+3E03
㸣	U+3E23
㹟	U+3E5F
㺒	U+3E92
㺞	U+3E9E
㺯	U+3EAF
㼈	U+3F08
㼼	U+3F3C
㽒	U+3F52
㽵	U+3F75
㾘	U+3F98
㾞	U+3F9E
㾯	U+3FAF
㾹	U+3FB9
㿡	U+3FE1
㿬	U+3FEC
䀄	U+4004
䀆	U+4006
䀡	U+4021
䁛	U+405B
䁟	U+405F
䂴	U+40B4
䃼	U+40FC
䄌	U+410C
䄡	U+4121
䄭	U+412D
䄺	U+413A
䅟	U+415F
䅻	U+417B
䆈	U+4188
䆟	U+419F
䇧	U+41E7
䈎	U+420E
䈚	U+421A
䈵	U+4235
䊍	U+428D
䊏	U+428F
䋈	U+42C8
䋘	U+42D8
䋠	U+42E0
䋥	U+42E5
䎝	U+439D
䎴	U+43B4
䏈	U+43C8
䏙	U+43D9
䏦	U+43E6
䏵	U+43F5
䏻	U+43FB
䐗	U+4417
䑃	U+4443
䑕	U+4455
䒂	U+4482
䓖	U+44D6
䓦	U+44E6
䓧	U+44E7
䔍	U+450D
䔠	U+4520
䔤	U+4524
䕌	U+454C
䗂	U+45C2
䗅	U+45C5
䗦	U+45E6
䗬	U+45EC
䘄	U+4604
䘙	U+4619
䘚	U+461A
䘹	U+4639
䙷	U+4677
䙸	U+4678
䚂	U+4682
䚱	U+46B1
䛏	U+46CF
䜣	U+4723
䜹	U+4739
䝜	U+475C
䝨	U+4768
䟽	U+47FD
䠋	U+480B
䠻	U+483B
䢐	U+4890
䣂	U+48C2
䣑	U+48D1
䤈	U+4908
䤟	U+491F
䤺	U+493A
䥚	U+495A
䥝	U+495D
䦓	U+4993
䦥	U+49A5
䦹	U+49B9
䧨	U+49E8
䧹	U+49F9
䪲	U+4AB2
䫜	U+4ADC
䬡	U+4B21
䭫	U+4B6B
䭬	U+4B6C
䭽	U+4B7D
䱚	U+4C5A
䱛	U+4C5B
䱽	U+4C7D
䲨	U+4CA8
䲲	U+4CB2
䲼	U+4CBC
一	U+4E00
丂	U+4E02
丅	U+4E05
万	U+4E07
三	U+4E09
上	U+4E0A
下	U+4E0B
丌	U+4E0C
不	U+4E0D
与	U+4E0E
丏	U+4E0F
丐	U+4E10
丑	U+4E11
且	U+4E14
丕	U+4E15
世	U+4E16
丗	U+4E17
丙	U+4E19
业	U+4E1A
丝	U+4E1D
丞	U+4E1E
丟	U+4E1F
丢	U+4E22
丣	U+4E23
丧	U+4E27
个	U+4E2A
丫	U+4E2B
中	U+4E2D
丰	U+4E30
串	U+4E32
丷	U+4E37
丸	U+4E38
主	U+4E3B
丿	U+4E3F
乁	U+4E41
乄	U+4E44
久	U+4E45
乆	U+4E46
么	U+4E48
义	U+4E49
之	U+4E4B
乌	U+4E4C
乍	U+4E4D
乎	U+4E4E
乏	U+4E4F
乑	U+4E51
乒	U+4E52
乓	U+4E53
乙	U+4E59
九	U+4E5D
也	U+4E5F
乢	U+4E62
乣	U+4E63
书	U+4E66
乧	U+4E67
乩	U+4E69
乯	U+4E6F
乹	U+4E79
乾	U+4E7E
乿	U+4E7F
亀	U+4E80
亁	U+4E81
亄	U+4E84
了	U+4E86
亇	U+4E87
予	U+4E88
亊	U+4E8A
事	U+4E8B
亍	U+4E8D
于	U+4E8E
亏	U+4E8F
亐	U+4E90
互	U+4E92
亓	U+4E93
五	U+4E94
亖	U+4E96
亗	U+4E97
亙	U+4E99
些	U+4E9B
亜	U+4E9C
亞	U+4E9E
亟	U+4E9F
亠	U+4EA0
亡	U+4EA1
亢	U+4EA2
亥	U+4EA5
亦	U+4EA6
亪	U+4EAA
亭	U+4EAD
亲	U+4EB2
亶	U+4EB6
亼	U+4EBC
亾	U+4EBE
什	U+4EC0
仅	U+4EC5
仆	U+4EC6
仈	U+4EC8
仉	U+4EC9
今	U+4ECA
仍	U+4ECD
仑	U+4ED1
仒	U+4ED2
仓	U+4ED3
仔	U+4ED4
仕	U+4ED5
仗	U+4ED7
仙	U+4ED9
仚	U+4EDA
仜	U+4EDC
仟	U+4EDF
仢	U+4EE2
代	U+4EE3
令	U+4EE4
以	U+4EE5
仦	U+4EE6
仧	U+4EE7
仨	U+4EE8
仪	U+4EEA
仮	U+4EEE
仲	U+4EF2
仳	U+4EF3
仵	U+4EF5
件	U+4EF6
仹	U+4EF9
仼	U+4EFC
企	U+4F01
伂	U+4F02
伆	U+4F06
伎	U+4F0E
伏	U+4F0F
伔	U+4F14
伕	U+4F15
伖	U+4F16
众	U+4F17
伙	U+4F19
伣	U+4F23
伤	U+4F24
伦	U+4F26
伨	U+4F28
伩	U+4F29
伬	U+4F2C
伮	U+4F2E
伵	U+4F35
伶	U+4F36
伷	U+4F37
伸	U+4F38
伺	U+4F3A
伽	U+4F3D
伾	U+4F3E
但	U+4F46
佇	U+4F47
佊	U+4F4A
佌	U+4F4C
位	U+4F4D
低	U+4F4E
住	U+4F4F
佐	U+4F50
体	U+4F53
佔	U+4F54
佘	U+4F58
佛	U+4F5B
佟	U+4F5F
佣	U+4F63
佹	U+4F79
佼	U+4F7C
佽	U+4F7D
使	U+4F7F
侀	U+4F80
侅	U+4F85
來	U+4F86
例	U+4F8B
侍	U+4F8D
侒	U+4F92
侖	U+4F96
侙	U+4F99
侚	U+4F9A
供	U+4F9B
依	U+4F9D
侞	U+4F9E
